Time,Cum. Inj Water ,Cum. Prod Water ,Cum Oil prod.  ,Cum. Inj CO2,Cum. Prod CO2,Pressure
(hrs),(rml),(sep-ml),(sep_ml),(rml),(std.cc),bara
0.000,0.000,0.000,0.000,0.000,0,255.3903942
0.001,0.025,0.000,0.330,0.000,0,255.3960972
0.009,0.195,0.000,0.330,0.000,0,255.3144247
0.018,0.373,0.000,0.400,0.000,0,255.3960972
0.026,0.544,0.000,0.630,0.000,0,255.2735883
0.034,0.721,0.000,0.860,0.000,0,255.1102417
0.043,0.893,0.000,0.860,0.000,0,255.2327518
0.051,1.070,0.000,1.160,0.000,0,255.0285678
0.060,1.247,0.000,1.230,0.000,0,254.8107688
0.068,1.417,0.000,1.230,0.000,0,254.8652188
0.076,1.594,0.000,1.550,0.000,0,254.8652188
0.085,1.765,0.000,1.830,0.000,0,254.9468935
0.093,1.942,0.000,1.830,0.000,0,254.9468935
0.101,2.120,0.000,2.060,0.000,0,254.8107688
0.110,2.291,0.000,2.390,0.000,0,254.8652188
0.118,2.468,0.000,2.570,0.000,0,254.7699311
0.126,2.640,0.000,2.570,0.000,0,254.8652188
0.135,2.816,0.000,2.880,0.000,0,254.9468935
0.143,2.988,0.000,3.110,0.000,0,254.6882555
0.151,3.165,0.000,3.110,0.000,0,254.7699311
0.160,3.342,0.000,3.330,0.000,0,254.7290934
0.168,3.513,0.000,3.590,0.000,0,254.7290934
0.176,3.690,0.000,3.590,0.000,0,254.6882555
0.185,3.861,0.000,3.840,0.000,0,255.1919152
0.193,4.039,0.000,3.910,0.000,0,255.3960972
0.201,4.216,0.000,3.910,0.000,0,254.5657414
0.210,4.387,0.000,4.140,0.000,0,254.9060562
0.218,4.564,0.000,4.460,0.000,0,255.1510785
0.226,4.735,0.000,4.720,0.000,0,255.1919152
0.235,4.912,0.000,4.720,0.000,0,255.3960972
0.243,5.084,0.000,4.960,0.000,0,255.3144247
0.251,5.261,0.000,5.220,0.000,0,254.6882555
0.260,5.438,0.000,5.220,0.000,0,255.0694048
0.268,5.608,0.000,5.440,0.000,0,255.3144247
0.276,5.786,0.000,5.720,0.000,0,255.0285678
0.285,5.957,0.000,5.720,0.000,0,255.0694048
0.293,6.134,0.000,6.330,0.000,0,255.355261
0.301,6.305,0.000,6.440,0.000,0,255.2327518
0.310,6.483,0.000,6.540,0.000,0,255.4777692
0.318,6.660,0.000,6.540,0.000,0,255.2735883
0.326,6.830,0.000,6.870,0.000,0,255.4777692
0.335,7.007,0.000,6.990,0.000,0,253.6536632
0.343,7.179,0.000,6.990,0.000,0,254.0212232
0.351,7.356,0.000,7.570,0.000,0,254.2798716
0.360,7.527,0.000,7.710,0.000,0,254.6065796
0.368,7.704,0.000,7.710,0.000,0,254.6882555
0.376,7.881,0.000,7.720,0.000,0,255.1102417
0.385,8.051,0.000,7.980,0.000,0,255.5186051
0.393,8.229,0.000,8.230,0.000,0,255.3960972
0.401,8.400,0.000,8.230,0.000,0,254.7699311
0.410,8.577,0.000,8.800,0.000,0,254.2798716
0.418,8.754,0.000,8.820,0.000,0,254.7290934
0.426,8.926,0.000,8.820,0.000,0,254.7290934
0.435,9.103,0.000,8.850,0.000,0,255.2327518
0.443,9.273,0.000,9.510,0.000,0,255.355261
