CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
0.0000,983.0472,1645.6800,1495.8883,112.4941,0.0000,0.0000,253.8465
0.0167,983.0639,1645.6800,1495.9883,112.4741,0.0346,-44.5632,253.8563
0.0333,983.0806,1645.6800,1496.0283,112.4341,0.0702,-25.7292,253.8465
0.0500,983.0972,1645.6800,1495.9483,112.5841,0.1047,-36.4636,253.8465
0.0667,983.1139,1645.6800,1496.0083,112.4941,0.1404,-102.4171,253.8366
0.0833,983.1306,1645.6800,1496.0883,112.4741,0.1749,-63.2328,253.8465
0.1000,983.1472,1645.6800,1496.1383,112.4941,0.2095,-14.7754,253.8366
0.1167,983.1639,1645.6800,1496.1183,112.4641,0.2441,-57.6219,253.8267
0.1333,983.1806,1645.6800,1496.1683,112.4941,0.2797,-25.3473,253.8070
0.1500,983.1972,1645.6800,1496.1983,112.4641,0.3142,-11.3295,253.8070
0.1667,983.2139,1645.6800,1496.2883,112.3941,0.3499,-45.4513,253.7971
0.1833,983.2306,1645.6800,1496.2083,112.5341,0.3844,-39.7500,253.7971
0.2000,983.2472,1645.6800,1496.3283,112.4241,0.4190,-51.4283,253.7971
0.2167,983.2639,1645.6800,1496.3683,112.4441,0.4536,-64.2500,253.7774
0.2333,983.2806,1645.6800,1496.3683,112.4941,0.4892,-33.0397,253.7576
0.2500,983.2972,1645.6800,1496.4683,112.4241,0.5248,-22.7140,253.7675
0.2667,983.3139,1645.6800,1496.5683,112.3641,0.5594,3.7137,253.7576
0.2833,983.3306,1645.6800,1496.4983,112.4441,0.5939,-21.7297,253.7478
0.3000,983.3472,1645.6800,1496.5383,112.4641,0.6285,-61.4621,253.7379
0.3167,983.3639,1645.6800,1496.5483,112.4841,0.6641,4.4929,253.7280
0.3333,983.3806,1645.6800,1496.6683,112.4541,0.6987,-22.4621,253.7280
0.3500,983.3972,1645.6800,1496.7083,112.4341,0.7332,-63.2206,253.7182
0.3667,983.4139,1645.6800,1496.7183,112.4441,0.7688,-21.4389,253.7083
0.3833,983.4306,1645.6800,1496.7283,112.4241,0.8034,-49.4900,253.6984
0.4000,983.4472,1645.6800,1496.7783,112.4541,0.8380,-39.3727,253.6886
0.4167,983.4639,1645.6800,1496.7283,112.5241,0.8736,17.3676,253.6984
0.4333,983.4806,1645.6800,1496.8083,112.4741,0.9082,-41.9472,253.6787
0.4500,983.4972,1645.6800,1496.8783,112.5041,0.9427,-13.0792,253.6688
0.4667,983.5139,1645.6800,1496.9583,112.3641,0.9783,5.6791,253.6688
0.4833,983.5306,1645.6800,1496.9483,112.4541,1.0129,-22.4170,253.6688
0.5000,983.5472,1645.6800,1496.8683,112.5841,1.0475,-23.8049,253.6589
0.5169,983.5642,1645.6800,1497.0283,112.3441,1.0831,-30.3665,253.6491
0.5336,983.5808,1645.6800,1497.0083,112.4941,1.1177,10.6462,253.6392
0.5503,983.5975,1645.6800,1497.0383,112.4541,1.1522,-57.7613,253.6392
0.5669,983.6142,1645.6800,1497.0883,112.4441,1.1878,-20.5796,253.6392
0.5836,983.6308,1645.6800,1497.1083,112.5441,1.2224,-0.4034,253.6392
0.6003,983.6475,1645.6800,1497.1183,112.5541,1.2580,-2.8502,253.6293
0.6169,983.6642,1645.6800,1497.2183,112.4441,1.2926,-9.6986,253.6293
0.6336,983.6808,1645.6800,1497.2383,112.4241,1.3271,-32.7311,253.6195
0.6503,983.6975,1645.6800,1497.2083,112.4341,1.3617,-26.9437,253.6293
0.6669,983.7142,1645.6800,1497.2683,112.4241,1.3973,-8.6379,253.6293
0.6836,983.7308,1645.6800,1497.2383,112.5041,1.4319,-16.9131,253.6293
0.7003,983.7475,1645.6800,1497.2483,112.5541,1.4665,-3.3775,253.6096
0.7169,983.7642,1645.6800,1497.3383,112.4841,1.5021,-1.0952,253.6096
0.7336,983.7808,1645.6800,1497.2283,112.6541,1.5366,-9.4110,253.5997
0.7503,983.7975,1645.6800,1497.3483,112.6041,1.5712,-55.1069,253.6096
0.7669,983.8142,1645.6800,1497.4583,112.4941,1.6058,-50.3834,253.6096
0.7836,983.8308,1645.6800,1497.3683,112.5741,1.6414,-7.2933,253.6096
0.8003,983.8475,1645.6800,1497.5083,112.4741,1.6760,7.5062,253.5899
0.8169,983.8642,1645.6800,1497.4583,112.6241,1.7116,-2.1531,253.5899
0.8336,983.8808,1645.6800,1497.4683,112.6141,1.7461,-30.8999,253.5701
0.8503,983.8975,1645.6800,1497.5383,112.5641,1.7807,11.7369,253.5800
0.8669,983.9142,1645.6800,1497.7383,112.4041,1.8153,-4.5707,253.5997
0.8836,983.9308,1645.6800,1497.6783,112.5341,1.8509,-34.9690,253.5997
0.9003,983.9475,1645.6800,1497.7583,112.5541,1.8855,0.4467,253.5800
0.9169,983.9642,1645.6800,1497.7783,112.5341,1.9211,8.5185,253.5800
0.9336,983.9808,1645.6800,1497.7383,112.6141,1.9556,-14.6820,253.5800
0.9503,983.9975,1645.6800,1497.9183,112.4541,1.9902,-25.1919,253.5603
0.9669,984.0142,1645.6800,1497.9283,112.5241,2.0248,13.6625,253.5603
0.9836,984.0308,1645.6800,1497.9383,112.5841,2.0604,-12.0151,253.5603
1.0003,984.0475,1645.6800,1497.9983,112.5041,2.0949,-2.6847,253.5701
1.0169,984.0642,1645.6800,1498.0283,112.5141,2.1306,-1.6706,253.5701
1.0336,984.0808,1645.6800,1498.0383,112.5441,2.1651,-6.5412,253.5701
1.0503,984.0975,1645.6800,1497.9783,112.6641,2.1997,-11.3270,253.5701
1.0669,984.1142,1645.6800,1498.1883,112.4241,2.2353,4.9387,253.5603
1.0836,984.1308,1645.6800,1498.1383,112.5441,2.2699,-25.2811,253.5504
1.1003,984.1475,1645.6800,1498.1483,112.5741,2.3055,-11.6530,253.5603
1.1169,984.1642,1645.6800,1498.1883,112.5041,2.3401,24.1235,253.5504
1.1336,984.1808,1645.6800,1498.2683,112.4741,2.3746,-18.6305,253.5701
1.1503,984.1975,1645.6800,1498.2783,112.4941,2.4092,14.7096,253.5603
1.1669,984.2142,1645.6800,1498.2183,112.6141,2.4448,-2.8544,253.5504
1.1836,984.2308,1645.6800,1498.2183,112.6641,2.4794,-28.4486,253.5405
1.2003,984.2475,1645.6800,1498.3183,112.6141,2.5139,11.7064,253.5504
1.2169,984.2642,1645.6800,1498.2783,112.5941,2.5495,-12.2643,253.5405
1.2336,984.2808,1645.6800,1498.3383,112.6441,2.5841,26.4718,253.5306
1.2503,984.2975,1645.6800,1498.3383,112.6141,2.6197,2.3787,253.5208
1.2669,984.3142,1645.6800,1498.3683,112.6241,2.6543,44.9230,253.5208
1.2836,984.3308,1645.6800,1498.5683,112.4541,2.6889,-27.8451,253.5109
1.3003,984.3475,1645.6800,1498.4383,112.6241,2.7234,-11.8649,253.5010
1.3169,984.3642,1645.6800,1498.5383,112.5441,2.7590,-7.3956,253.4912
1.3336,984.3808,1645.6800,1498.5083,112.6541,2.7936,-7.7206,253.4912
1.3503,984.3975,1645.6800,1498.5783,112.5041,2.8292,-7.3956,253.4813
1.3669,984.4142,1645.6800,1498.5083,112.6441,2.8638,17.7084,253.4813
1.3836,984.4308,1645.6800,1498.6683,112.5741,2.8984,-3.3554,253.4714
1.4003,984.4475,1645.6800,1498.6083,112.6141,2.9329,45.1568,253.4714
1.4169,984.4642,1645.6800,1498.6983,112.5341,2.9685,31.3177,253.4517
1.4336,984.4808,1645.6800,1496.8283,114.5341,3.0031,4.0950,253.4714
1.4503,984.4975,1645.6800,1498.7983,112.5641,3.0387,-5.0177,253.4714
1.4669,984.5142,1645.6800,1498.7683,112.6241,3.0733,15.5603,253.4616
1.4836,984.5308,1645.6800,1498.9083,112.4741,3.1079,7.5291,253.4616
1.5003,984.5475,1645.6800,1498.9683,112.4441,3.1424,4.0214,253.4418
1.5169,984.5642,1645.6800,1498.8983,112.5641,3.1780,8.3753,253.4418
1.5336,984.5808,1645.6800,1498.9283,112.6041,3.2126,18.5036,253.4517
1.5503,984.5975,1645.6800,1498.9483,112.6341,3.2482,24.0305,253.4221
1.5669,984.6142,1645.6800,1498.9683,112.5941,3.2828,9.1389,253.4517
1.5836,984.6308,1645.6800,1499.0183,112.6341,3.3173,8.7721,253.4320
1.6003,984.6475,1645.6800,1498.9883,112.6041,3.3519,14.7478,253.4122
1.6169,984.6642,1645.6800,1499.0583,112.5741,3.3875,5.4620,253.4418
1.6336,984.6808,1645.6800,1499.1183,112.6441,3.4221,23.2981,253.4418
1.6503,984.6975,1645.6800,1499.0883,112.6441,3.4567,11.9542,253.4517
1.6669,984.7142,1645.6800,1499.1483,112.6841,3.4923,41.4942,253.4320
1.6836,984.7308,1645.6800,1499.2683,112.5641,3.5268,41.4942,253.4320
1.7003,984.7475,1645.6800,1499.3683,112.5541,3.5625,-9.6399,253.4221
1.7169,984.7642,1645.6800,1499.2983,112.6341,3.5970,30.6781,253.4221
1.7339,984.7811,1645.6800,1499.3183,112.7141,3.6316,16.4626,253.4221
1.7506,984.7978,1645.6800,1499.4283,112.5841,3.6662,8.4725,253.4221
1.7672,984.8144,1645.6800,1499.4883,112.5741,3.7018,2.5312,253.4023
1.7839,984.8311,1645.6800,1499.4883,112.6341,3.7363,23.0001,253.4023
1.8006,984.8478,1645.6800,1499.5683,112.6041,3.7720,45.8450,253.3925
1.8172,984.8644,1645.6800,1499.5483,112.6541,3.8065,8.8633,253.3826
1.8339,984.8811,1645.6800,1499.6383,112.5741,3.8411,36.5365,253.3925
1.8506,984.8978,1645.6800,1499.6883,112.5941,3.8757,39.6574,253.3727
1.8672,984.9144,1645.6800,1499.6283,112.7341,3.9113,7.0439,253.3826
1.8839,984.9311,1645.6800,1499.6483,112.7141,3.9458,10.5399,253.3727
1.9006,984.9478,1645.6800,1499.6683,112.6541,3.9814,1.4666,253.3530
1.9172,984.9644,1645.6800,1499.6583,112.7041,4.0160,22.0220,253.3431
1.9339,984.9811,1645.6800,1499.8083,112.6441,4.0506,6.6765,253.3431
1.9506,984.9978,1645.6800,1499.8683,112.5841,4.0862,22.8200,253.3333
1.9672,985.0144,1645.6800,1499.8883,112.6441,4.1208,23.6577,253.3431
1.9839,985.0311,1645.6800,1499.9083,112.5341,4.1553,7.8821,253.3234
