Time,Cum. Inj Water,Cum. Prod Water ,Cum Oil prod,Cum. Inj CO2,Cum. Prod Gas,Pressure
hrs,rml,Sml,Sml,rml,SCC,atm
0.579003897,7.278990192,-0.314387693,6.13164192,0,509.6236661,255.1457251
0.58733723,7.383708092,-0.463818143,6.10156089,0,510.1852079,255.2685002
0.595670563,7.488425992,-0.463818143,6.10156089,0,539.4946578,255.4321989
0.604003896,7.593143892,-0.623210623,6.76956923,0,524.7832538,255.3503498
0.61233723,7.697861792,-0.623210623,6.76956923,0,515.3893239,255.2275753
0.620670563,7.802579692,-0.593324533,6.86933032,0,598.6785684,255.309425
0.629003896,7.907297592,-0.593324533,6.86933032,0,581.620352,255.2685002
0.63733723,8.013062671,-0.503666263,7.30823363,0,580.7416892,255.3503498
0.645670563,8.117780571,-0.503666263,7.30823363,0,596.6413626,255.1866502
0.654003896,8.222498471,-0.364197843,7.25852095,0,574.2435646,255.3912744
0.66233723,8.327216371,-0.364197843,7.25852095,0,556.7830918,255.4321989
0.670670563,8.431934271,-0.354235813,7.00921028,0,635.912259,255.2275753
0.679003896,8.536652171,-0.354235813,7.00921028,0,629.1279515,255.3503498
0.68733723,8.641370071,-0.394083933,7.1986513,0,586.9054504,255.1457251
0.695670563,8.746087971,-0.394083933,7.1986513,0,598.6332,255.3912744
0.704003896,8.850805871,-0.394083933,7.1986513,0,637.8212241,255.2685002
0.71233723,8.95657095,-0.344273783,7.49789125,0,653.9279986,255.2685002
0.720670563,9.06128885,-0.344273783,7.49789125,0,618.6640871,255.1457251
0.729003896,9.16600675,-0.304425663,8.52513915,0,593.1250505,255.309425
0.73733723,9.269677471,-0.304425663,8.52513915,0,633.5577947,255.3912744
0.745670563,9.374395371,-0.334311753,7.83697932,0,639.991593,255.2275753
0.754003896,9.479113271,-0.334311753,7.83697932,0,629.5057585,255.1866502
0.76233723,9.580689634,-0.344273783,8.19599145,0,689.2788807,255.309425
0.770670563,9.686454713,-0.344273783,8.19599145,0,609.4118253,255.1457251
0.779003896,9.791172613,-0.394083933,8.22585588,0,710.2139799,255.2685002
0.78733723,9.895890513,-0.394083933,8.22585588,0,707.083034,255.1866502
0.795670563,10.00060841,-0.443894083,8.45517751,0,637.099911,255.4321989
0.804003896,10.10532631,-0.443894083,8.45517751,0,721.0466503,255.1866502
0.81233723,10.21109139,-0.423970023,8.69454781,0,689.1383325,255.2685002
0.820670563,10.31580929,-0.423970023,8.69454781,0,721.4818848,255.2275753
0.829003896,10.42052719,-0.463818143,9.25298465,0,687.2202418,255.1457251
0.83733723,10.52524509,-0.463818143,9.25298465,0,697.384592,255.1047998
0.845670563,10.62996299,-0.573400473,9.01351688,0,778.0035611,255.3912744
0.854003897,10.73468089,-0.573400473,9.01351688,0,692.7105758,255.3503498
0.86233723,10.84044597,-0.573400473,9.01351688,0,729.0203199,255.3503498
0.870670563,10.94516387,-0.483742203,9.50228449,0,805.8114633,255.309425
0.879003896,11.04988177,-0.483742203,9.50228449,0,800.3992677,255.2685002
0.88733723,11.15564685,-0.414007993,9.24306594,0,816.9038066,255.2275753
