Time,Cum. Inj Water ,Cum. Prod Water ,Cum Oil prod.  ,Cum. Inj CO2,Cum. Prod CO2,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
0.000,0.000,0.000,0.000,0.000,0,254.3413022
0.023,0.049,-0.045,0.114,0.000,0,254.3413022
0.057,0.118,-0.045,0.159,0.000,0,254.3208263
0.090,0.188,-0.055,0.229,0.000,0,254.3822538
0.123,0.258,0.099,0.145,0.000,0,254.4027297
0.157,0.328,0.094,0.215,0.000,0,254.4027297
0.190,0.398,0.104,0.289,0.000,0,254.4027297
0.223,0.468,-0.040,0.483,0.000,0,254.4232054
0.257,0.537,-0.100,0.612,0.000,0,254.4232054
0.290,0.607,0.149,0.404,0.000,0,254.4232054
0.323,0.678,0.020,0.608,0.000,0,254.4436812
0.357,0.747,0.024,0.678,0.000,0,254.464157
0.390,0.816,-0.035,0.797,0.000,0,254.464157
0.423,0.887,0.039,0.762,0.000,0,254.464157
0.457,0.956,0.089,0.777,0.000,0,254.464157
0.490,1.026,-0.020,0.986,0.000,0,254.5051084
0.523,1.096,0.020,0.991,0.000,0,254.4846327
0.557,1.166,0.119,0.932,0.000,0,254.5051084
0.590,1.236,0.074,1.066,0.000,0,254.464157
0.623,1.306,0.144,1.051,0.000,0,254.464157
0.657,1.375,0.124,1.176,0.000,0,254.464157
0.690,1.445,0.074,1.280,0.000,0,254.4232054
0.723,1.515,0.029,1.415,0.000,0,254.4027297
0.757,1.585,0.099,1.380,0.000,0,254.4027297
0.790,1.655,0.069,1.490,0.000,0,254.3822538
0.823,1.725,-0.015,1.654,0.000,0,254.3413022
0.857,1.794,0.044,1.644,0.000,0,254.3208263
0.890,1.864,0.079,1.674,0.000,0,254.3413022
0.923,1.934,0.005,1.878,0.000,0,254.3413022
0.957,2.004,0.129,1.833,0.000,0,254.3413022
0.990,2.073,0.099,1.918,0.000,0,254.3822538
1.023,2.144,0.010,2.072,0.000,0,254.3413022
1.057,2.213,-0.090,2.221,0.000,0,254.361778
1.090,2.283,0.064,2.162,0.000,0,254.3413022
1.123,2.353,0.005,2.281,0.000,0,254.3413022
1.157,2.423,0.054,2.326,0.000,0,254.361778
1.190,2.493,0.015,2.411,0.000,0,254.4436812
1.223,2.563,-0.035,2.520,0.000,0,254.464157
1.257,2.632,0.069,2.486,0.000,0,254.4232054
1.290,2.702,-0.045,2.670,0.000,0,254.464157
1.323,2.772,0.168,2.506,0.000,0,254.4436812
1.357,2.842,-0.020,2.759,0.000,0,254.464157
1.390,2.912,-0.020,2.839,0.000,0,254.464157
1.423,2.982,0.005,2.899,0.000,0,254.464157
1.457,3.051,0.005,2.919,0.000,0,254.464157
1.490,3.121,-0.095,3.113,0.000,0,254.4846327
1.523,3.191,0.010,3.073,0.000,0,254.464157
1.557,3.261,0.044,3.098,0.000,0,254.464157
1.590,3.330,0.039,3.138,0.000,0,254.4846327
1.623,3.400,-0.015,3.277,0.000,0,254.5051084
1.657,3.470,-0.149,3.476,0.000,0,254.5051084
1.690,3.540,-0.015,3.397,0.000,0,254.5255841
1.723,3.610,-0.090,3.546,0.000,0,254.5051084
1.757,3.680,-0.050,3.561,0.000,0,254.5665355
1.790,3.750,-0.055,3.646,0.000,0,254.5460598
1.823,3.819,-0.055,3.700,0.000,0,254.5460598
1.857,3.890,-0.030,3.710,0.000,0,254.5255841
1.890,3.959,0.044,3.726,0.000,0,254.5051084
1.923,4.028,0.109,3.801,0.000,0,254.5255841
1.957,4.099,0.044,3.970,0.000,0,254.5460598
1.990,4.168,0.129,3.870,0.000,0,254.5460598
2.023,4.238,0.034,4.039,0.000,0,254.5255841
2.057,4.308,0.069,4.089,0.000,0,254.5460598
2.090,4.378,0.039,4.189,0.000,0,254.5870111
2.123,4.448,-0.040,4.318,0.000,0,254.5870111
2.157,4.518,-0.080,4.413,0.000,0,254.5870111
2.190,4.588,0.059,4.343,0.000,0,254.6279624
2.223,4.657,0.039,4.418,0.000,0,254.6279624
2.257,4.727,0.099,4.443,0.000,0,254.648438
2.290,4.797,-0.258,4.855,0.000,0,254.6689136
2.323,4.867,0.129,4.538,0.000,0,254.6689136
2.357,4.937,0.034,4.707,0.000,0,254.648438
2.390,5.007,-0.070,4.866,0.000,0,254.6689136
2.423,5.076,0.024,4.837,0.000,0,254.6689136
2.457,5.146,0.015,4.896,0.000,0,254.648438
2.490,5.216,-0.005,5.006,0.000,0,254.6689136
2.523,5.285,0.039,5.011,0.000,0,254.6689136
2.557,5.356,-0.050,5.155,0.000,0,254.648438
2.590,5.425,0.020,5.165,0.000,0,254.6689136
2.623,5.495,-0.010,5.235,0.000,0,254.6689136
2.657,5.565,0.020,5.299,0.000,0,254.6689136
2.690,5.635,0.074,5.305,0.000,0,254.6689136
2.723,5.705,-0.025,5.474,0.000,0,254.6962143
2.757,5.775,0.079,5.424,0.000,0,254.6962143
2.790,5.844,0.074,5.464,0.000,0,254.723515
2.823,5.914,-0.005,5.618,0.000,0,254.723515
2.857,5.984,0.104,5.564,0.000,0,254.723515
2.890,6.054,0.049,5.788,0.000,0,254.6962143
2.923,6.124,0.049,5.862,0.000,0,254.6689136
2.957,6.194,-0.169,6.141,0.000,0,254.648438
2.990,6.264,0.104,5.922,0.000,0,254.648438
3.023,6.333,0.005,6.106,0.000,0,254.6279624
3.057,6.403,-0.095,6.240,0.000,0,254.6074868
3.090,6.473,0.109,6.161,0.000,0,254.6279624
3.123,6.542,-0.025,6.300,0.000,0,254.5870111
3.157,6.613,0.064,6.306,0.000,0,254.5870111
3.190,6.682,-0.030,6.455,0.000,0,254.5460598
3.223,6.752,-0.050,6.524,0.000,0,254.5255841
3.257,6.822,-0.065,6.599,0.000,0,254.5051084
3.290,6.892,0.114,6.500,0.000,0,254.4846327
3.323,6.961,0.024,6.684,0.000,0,254.5051084
3.357,7.032,0.020,6.739,0.000,0,254.5255841
3.390,7.101,-0.219,7.047,0.000,0,254.5460598
3.423,7.171,-0.050,6.948,0.000,0,254.5051084
3.457,7.241,0.129,6.859,0.000,0,254.5051084
3.490,7.311,0.129,6.889,0.000,0,254.5255841
3.523,7.381,-0.085,7.162,0.000,0,254.5870111
3.557,7.451,0.005,7.187,0.000,0,254.5870111
3.590,7.521,-0.075,7.271,0.000,0,254.6074868
3.623,7.590,-0.050,7.306,0.000,0,254.6074868
3.657,7.660,-0.045,7.381,0.000,0,254.5870111
3.690,7.730,-0.030,7.421,0.000,0,254.5870111
3.723,7.799,0.059,7.401,0.000,0,254.5870111
3.757,7.870,0.099,7.436,0.000,0,254.5870111
3.790,7.939,-0.020,7.630,0.000,0,254.5870111
3.824,8.010,0.079,7.636,0.000,0,254.5870111
3.857,8.079,-0.045,7.834,0.000,0,254.5870111
3.890,8.149,-0.055,7.929,0.000,0,254.6279624
3.923,8.219,-0.100,8.043,0.000,0,254.6279624
3.957,8.289,-0.055,8.068,0.000,0,254.648438
3.990,8.359,0.039,8.029,0.000,0,254.648438
4.023,8.428,0.139,7.979,0.000,0,254.6279624
4.057,8.498,0.069,8.148,0.000,0,254.6279624
4.090,8.568,-0.110,8.377,0.000,0,254.6279624
4.123,8.637,-0.005,8.328,0.000,0,254.6074868
4.157,8.707,0.124,8.293,0.000,0,254.5870111
4.190,8.778,0.119,8.328,0.000,0,254.5665355
4.223,8.847,0.119,8.433,0.000,0,254.5665355
4.257,8.917,-0.015,8.636,0.000,0,254.5051084
4.290,8.987,-0.646,9.341,0.000,0,254.4846327
4.323,9.056,0.039,8.736,0.000,0,254.464157
4.357,9.126,-0.065,8.900,0.000,0,254.5051084
4.390,9.197,0.109,8.801,0.000,0,254.5051084
4.423,9.266,-0.035,9.020,0.000,0,254.5051084
4.457,9.336,0.094,8.955,0.000,0,254.5051084
4.490,9.406,-0.015,9.124,0.000,0,254.4846327
4.523,9.476,0.154,8.995,0.000,0,254.4846327
4.557,9.545,0.010,9.214,0.000,0,254.5665355
4.590,9.615,0.039,9.254,0.000,0,254.8463678
4.623,9.685,0.124,9.175,0.000,0,254.9896952
4.657,9.755,0.183,9.150,0.000,0,254.9692199
4.690,9.825,0.024,9.384,0.000,0,254.8873185
4.723,9.894,0.168,9.339,0.000,0,254.8668432
4.757,9.964,0.074,9.498,0.000,0,254.8463678
4.790,10.035,0.129,9.508,0.000,0,254.8463678
4.823,10.104,0.119,9.598,0.000,0,254.8054169
4.857,10.174,0.099,9.757,0.000,0,254.8054169
4.890,10.244,0.000,9.901,0.000,0,254.8054169
4.923,10.314,0.114,9.852,0.000,0,254.764466
4.957,10.383,0.144,9.907,0.000,0,254.764466
4.990,10.454,0.074,10.046,0.000,0,254.723515
5.023,10.523,0.020,10.136,0.000,0,254.6962143
5.057,10.593,0.010,10.250,0.000,0,254.723515
5.090,10.663,-0.070,10.359,0.000,0,254.723515
5.123,10.732,0.173,10.226,0.000,0,254.7439905
5.157,10.802,-0.015,10.464,0.000,0,254.764466
5.190,10.873,0.049,10.434,0.000,0,254.8054169
5.223,10.942,-0.025,10.589,0.000,0,254.8258923
5.257,11.012,0.154,10.480,0.000,0,254.8873185
5.290,11.082,0.000,10.713,0.000,0,254.8873185
5.323,11.151,0.064,10.689,0.000,0,254.9077939
5.357,11.221,0.099,10.719,0.000,0,254.9077939
5.390,11.291,0.149,10.699,0.000,0,254.9077939
5.423,11.361,-0.030,11.002,0.000,0,254.9282692
5.457,11.431,0.208,10.814,0.000,0,254.9077939
5.490,11.501,-0.075,11.181,0.000,0,254.8873185
5.523,11.571,0.054,11.072,0.000,0,254.8668432
5.557,11.640,0.129,11.097,0.000,0,254.8873185
5.590,11.710,0.029,11.271,0.000,0,254.9077939
5.623,11.780,0.054,11.346,0.000,0,254.8873185
5.657,11.850,0.034,11.356,0.000,0,254.8668432
5.690,11.920,0.163,11.316,0.000,0,254.8668432
5.723,11.989,0.034,11.495,0.000,0,254.8463678
5.757,12.059,0.173,11.441,0.000,0,254.8668432
5.790,12.129,0.064,11.625,0.000,0,254.8668432
5.823,12.199,0.074,11.660,0.000,0,254.8873185
5.857,12.269,-0.010,11.889,0.000,0,254.8668432
5.890,12.339,0.129,11.780,0.000,0,254.9692199
5.923,12.409,-0.005,11.983,0.000,0,255.0511209
5.957,12.478,-0.005,12.048,0.000,0,255.0511209
5.990,12.548,0.109,12.009,0.000,0,255.0920713
6.023,12.618,0.094,12.108,0.000,0,255.1330217
6.057,12.688,0.163,12.073,0.000,0,255.1739719
6.090,12.758,0.104,12.178,0.000,0,255.1125465
6.123,12.827,0.129,12.253,0.000,0,255.0306457
6.157,12.897,0.099,12.362,0.000,0,254.9692199
6.190,12.967,0.144,12.382,0.000,0,254.9282692
6.223,13.037,0.154,12.412,0.000,0,254.8873185
6.257,13.106,0.198,12.452,0.000,0,254.8463678
6.290,13.176,0.099,12.631,0.000,0,254.8258923
6.323,13.245,0.620,12.175,0.000,0,254.8258923
6.357,13.315,0.074,12.775,0.000,0,254.8054169
6.390,13.385,0.132,12.822,0.000,0,254.8258923
6.423,13.455,0.074,12.920,0.000,0,254.8258923
6.457,13.525,-0.070,13.134,0.000,0,254.8668432
6.490,13.595,-0.005,13.149,0.000,0,254.8463678
6.523,13.664,0.074,13.089,0.000,0,254.8668432
6.557,13.734,0.154,13.099,0.000,0,254.8668432
6.590,13.804,0.020,13.298,0.000,0,254.8463678
6.623,13.874,0.268,13.095,0.000,0,254.8873185
6.657,13.944,0.039,13.413,0.000,0,254.8668432
6.690,14.014,0.020,13.517,0.000,0,254.8463678
6.723,14.084,-0.015,13.587,0.000,0,254.8463678
6.757,14.153,0.168,13.493,0.000,0,254.8258923
6.790,14.223,-0.010,13.841,0.000,0,254.8258923
6.823,14.293,0.188,13.623,0.000,0,254.8054169
6.857,14.363,0.104,13.826,0.000,0,254.764466
6.890,14.432,0.114,13.916,0.000,0,254.764466
6.923,14.502,0.020,14.045,0.000,0,254.7849415
6.957,14.572,0.129,13.996,0.000,0,254.764466
6.990,14.642,0.218,13.986,0.000,0,254.9487446
7.023,14.712,0.010,14.165,0.000,0,255.194447
7.057,14.782,0.149,14.105,0.000,0,255.0101704
7.090,14.852,-0.035,14.384,0.000,0,254.9282692
7.123,14.922,0.178,14.240,0.000,0,255.0511209
7.157,14.991,0.139,14.349,0.000,0,255.0511209
7.190,15.061,0.114,14.414,0.000,0,255.194447
7.223,15.131,0.049,14.524,0.000,0,255.3787221
7.257,15.201,0.139,14.499,0.000,0,254.7371653
7.290,15.270,0.114,14.713,0.000,0,255.1125465
7.323,15.340,0.059,14.728,0.000,0,255.3787221
7.357,15.410,0.149,14.653,0.000,0,255.3377722
7.390,15.480,0.015,14.862,0.000,0,255.3172973
7.423,15.550,0.183,14.748,0.000,0,255.4674467
7.457,15.620,0.139,14.803,0.000,0,255.6790191
7.490,15.690,0.124,14.902,0.000,0,255.6790191
7.523,15.760,0.039,15.012,0.000,0,254.6962143
7.557,15.829,0.015,15.270,0.000,0,253.6109849
7.590,15.899,-0.204,15.778,0.000,0,253.9522575
7.623,15.969,-0.348,15.971,0.000,0,254.2798745
7.657,16.039,-0.422,16.071,0.000,0,254.5870111
7.690,16.108,-0.497,16.135,0.000,0,254.8054169
7.723,16.179,-0.601,16.245,0.000,0,255.0101704
7.757,16.248,-0.442,16.136,0.000,0,255.2149221
7.790,16.318,-0.402,16.101,0.000,0,255.4879215
7.823,16.388,-0.531,16.260,0.000,0,255.4469718
7.857,16.458,-0.541,16.419,0.000,0,254.9487446
7.890,16.528,-0.641,16.608,0.000,0,255.1534968
7.923,16.597,-0.541,16.499,0.000,0,255.5288711
7.957,16.667,-0.616,16.613,0.000,0,255.6994938
7.990,16.737,-0.621,16.653,0.000,0,255.8018668
8.023,16.807,-0.581,16.708,0.000,0,255.6790191
8.057,16.877,-0.472,16.609,0.000,0,255.7813922
8.090,16.947,-0.502,16.703,0.000,0,255.6175951
8.123,17.017,-0.576,16.897,0.000,0,255.1125465
8.157,17.086,-0.631,17.221,0.000,0,254.5870111
8.190,17.156,-0.596,17.161,0.000,0,254.9692199
8.223,17.226,-0.641,17.221,0.000,0,255.3172973
8.257,17.296,-0.556,17.176,0.000,0,255.6585445
8.290,17.365,-0.636,17.211,0.000,0,255.5288711
8.323,17.435,-0.536,17.261,0.000,0,255.5288711
8.357,17.505,-0.576,17.335,0.000,0,255.5493459
8.390,17.575,-0.526,17.331,0.000,0,255.4674467
8.423,17.645,-0.626,17.554,0.000,0,255.7609176
8.457,17.715,-0.546,17.500,0.000,0,255.6790191
8.490,17.785,-0.477,17.485,0.000,0,255.5493459
8.523,17.855,-0.507,17.629,0.000,0,255.2968223
8.557,17.924,-0.531,17.759,0.000,0,255.7199684
8.590,17.994,-0.536,17.754,0.000,0,255.2353972
8.623,18.063,-0.526,17.878,0.000,0,255.5288711
8.657,18.134,-0.566,17.958,0.000,0,255.0511209
8.690,18.203,-0.462,17.923,0.000,0,254.5665355
8.723,18.274,-0.447,18.168,0.000,0,254.9692199
8.757,18.343,-0.512,18.257,0.000,0,255.0715961
8.790,18.413,-0.616,18.441,0.000,0,255.2149221
8.823,18.482,-0.541,18.317,0.000,0,255.2831723
8.857,18.553,-0.656,18.615,0.000,0,255.0101704
8.890,18.622,-0.457,18.407,0.000,0,255.406022
8.923,18.692,-0.442,18.427,0.000,0,255.406022
8.957,18.762,-0.536,18.715,0.000,0,254.9282692
8.990,18.832,-0.631,18.819,0.000,0,255.3172973
9.023,18.902,-0.502,18.675,0.000,0,255.7199684
9.057,18.972,-0.387,18.596,0.000,0,255.7199684
9.090,19.042,-0.660,19.083,0.000,0,254.3413022
9.123,19.111,-0.482,19.049,0.000,0,254.7166898
9.157,19.181,-0.432,19.024,0.000,0,254.9896952
9.190,19.251,-0.531,19.114,0.000,0,255.2558722
9.223,19.320,-0.482,19.129,0.000,0,255.1330217
9.257,19.391,-0.422,19.114,0.000,0,255.2149221
9.290,19.461,-0.467,19.198,0.000,0,255.2558722
9.323,19.530,-0.373,19.189,0.000,0,255.5766456
9.357,19.600,-0.363,19.199,0.000,0,255.4879215
9.390,19.670,-0.323,19.209,0.000,0,255.399197
9.423,19.740,-0.258,19.284,0.000,0,255.4674467
9.457,19.810,-0.095,19.140,0.000,0,255.6994938
9.490,19.880,-0.174,19.229,0.000,0,255.7609176
9.523,19.949,-0.005,19.165,0.000,0,255.5971203
9.557,20.019,-0.144,19.319,0.000,0,255.0101704
9.590,20.089,-0.179,19.498,0.000,0,254.5870111
9.623,20.158,-0.184,19.697,0.000,0,254.9692199
9.657,20.229,-0.080,19.583,0.000,0,255.2763472
9.690,20.298,-0.040,19.598,0.000,0,255.4264969
9.723,20.368,-0.040,19.668,0.000,0,255.5083963
9.757,20.438,-0.010,19.703,0.000,0,255.5971203
9.790,20.508,0.054,19.668,0.000,0,255.5083963
9.823,20.578,0.010,19.773,0.000,0,255.0920713
9.857,20.648,0.069,19.977,0.000,0,254.614312
9.890,20.717,0.039,20.032,0.000,0,254.9896952
9.923,20.787,0.134,19.928,0.000,0,255.2353972
9.957,20.857,0.144,19.948,0.000,0,255.5288711
9.990,20.927,0.263,19.848,0.000,0,255.6994938
10.023,20.996,0.233,19.958,0.000,0,255.6790191
10.057,21.067,0.317,19.933,0.000,0,255.7199684
10.090,21.136,0.288,20.033,0.000,0,255.5493459
10.123,21.206,0.397,19.983,0.000,0,254.5255841
10.157,21.276,0.273,20.327,0.000,0,254.9282692
10.190,21.346,0.258,20.396,0.000,0,255.1739719
10.223,21.415,0.268,20.416,0.000,0,255.4264969
10.257,21.486,0.322,20.382,0.000,0,255.5971203
10.290,21.555,0.385,20.304,0.000,0,255.5971203
10.323,21.625,0.422,20.347,0.000,0,255.6790191
10.357,21.695,0.511,20.312,0.000,0,255.6380698
10.390,21.765,0.531,20.387,0.000,0,255.5766456
10.423,21.835,0.595,20.333,0.000,0,255.6175951
10.457,21.905,0.704,20.333,0.000,0,255.5288711
10.490,21.975,0.714,20.413,0.000,0,255.399197
10.523,22.044,0.759,20.473,0.000,0,255.7813922
10.557,22.114,0.868,20.383,0.000,0,254.8054169
10.590,22.184,1.032,20.439,0.000,0,255.1739719
10.623,22.254,0.992,20.459,0.000,0,255.3377722
10.657,22.324,0.933,20.558,0.000,0,254.9282692
10.690,22.394,1.062,20.568,0.000,0,255.2968223
10.723,22.463,1.161,20.449,0.000,0,255.0511209
10.757,22.533,1.241,20.574,0.000,0,254.8873185
10.790,22.603,1.300,20.564,0.000,0,255.2558722
10.823,22.672,1.260,20.634,0.000,0,255.4879215
10.857,22.743,1.305,20.604,0.000,0,255.5766456
10.890,22.812,1.444,20.565,0.000,0,255.4469718
10.923,22.881,1.444,20.634,0.000,0,255.5493459
10.957,22.951,1.454,20.679,0.000,0,255.6175951
10.990,23.021,1.563,20.625,0.000,0,255.4674467
11.023,23.090,1.717,20.581,0.000,0,255.5698207
11.057,23.160,1.737,20.591,0.000,0,255.406022
11.090,23.230,1.782,20.705,0.000,0,255.0101704
11.123,23.300,1.945,20.561,0.000,0,255.194447
11.157,23.370,1.940,20.666,0.000,0,255.3172973
11.190,23.440,1.980,20.681,0.000,0,255.399197
11.223,23.510,2.000,20.691,0.000,0,255.5561708
11.257,23.579,2.119,20.652,0.000,0,255.7199684
11.290,23.650,2.035,20.771,0.000,0,255.6585445
11.323,23.719,2.109,20.766,0.000,0,255.5288711
11.357,23.788,2.074,20.886,0.000,0,255.6994938
11.390,23.859,2.228,20.737,0.000,0,255.8632903
11.423,23.928,2.228,20.811,0.000,0,255.3582472
11.457,23.998,2.362,20.832,0.000,0,255.7609176
11.490,24.068,2.367,20.842,0.000,0,255.6721942
11.523,24.138,2.437,20.852,0.000,0,255.4674467
11.557,24.208,2.566,20.837,0.000,0,255.6175951
11.590,24.278,2.620,20.828,0.000,0,255.8018668
11.623,24.347,2.700,20.778,0.000,0,255.8837648
11.657,24.417,2.645,20.897,0.000,0,255.6994938
11.690,24.487,2.774,20.843,0.000,0,255.5493459
11.723,24.557,2.898,20.809,0.000,0,255.7813922
11.757,24.627,2.824,20.968,0.000,0,255.8018668
11.790,24.697,2.948,20.943,0.000,0,255.5356961
11.823,24.767,3.087,20.874,0.000,0,255.7813922
11.857,24.836,2.973,21.033,0.000,0,255.6926689
11.890,24.907,3.052,21.078,0.000,0,255.5493459
11.923,24.976,3.161,20.984,0.000,0,255.8837648
11.957,25.046,3.161,21.039,0.000,0,255.8428158
11.990,25.116,3.206,21.074,0.000,0,255.5493459
12.023,25.185,3.345,21.069,0.000,0,255.6175951
12.057,25.255,3.231,21.178,0.000,0,255.8632903
12.090,25.325,3.430,21.079,0.000,0,255.399197
12.123,25.395,1.489,23.105,0.000,0,255.5971203
12.157,25.465,3.524,21.095,0.000,0,255.8632903
12.190,25.535,3.559,21.189,0.000,0,254.4027297
12.223,25.605,3.678,21.294,0.000,0,254.7371653
12.257,25.674,3.608,21.384,0.000,0,254.8873185
12.290,25.745,3.544,21.488,0.000,0,254.9282692
12.323,25.814,3.673,21.429,0.000,0,255.0715961
12.357,25.884,3.772,21.365,0.000,0,254.4846327
12.390,25.954,3.827,21.569,0.000,0,252.6144396
12.423,26.024,3.985,21.853,0.000,0,252.2117138
12.457,26.093,4.199,21.869,0.000,0,252.2117138
12.490,26.164,4.353,21.770,0.000,0,252.3277541
12.523,26.233,4.432,21.686,0.000,0,252.4710973
12.557,26.303,4.442,21.735,0.000,0,252.6553944
12.590,26.373,4.383,21.755,0.000,0,252.8806443
12.623,26.442,4.462,21.686,0.000,0,253.1400203
12.657,26.512,4.467,21.701,0.000,0,253.4266955
12.690,26.583,4.402,21.750,0.000,0,253.7133672
12.723,26.652,4.383,21.745,0.000,0,254.0955905
