Time,Cum_GASINJ,Cum_GASPROD,Cum_OILPROD,Inlet_Pres
(hrs),(Scc),(Scc),(sep-cc),(atma)
0,0,0,0,255.8
0.1,219,488,1.28,255.5
0.2,219,488,1.28,255.5
0.3,1690,1353,1.68,254.5
0.4,1629,1363,1.7,254.7
0.5,1584,1388,2.08,254.8
0.6,1551,1379,2.04,255
0.7,1555,1403,1.92,255.1
0.8,1535,1355,1.91,255.2
0.9,1552,1414,2.12,255.2
1,1568,1397,2,255.3
1.1,1585,1357,2.12,255.5
1.2,1590,1373,2.06,255.6
1.3,1570,1340,2.12,255.7
1.4,1588,1357,2.26,255.7
1.5,1666,1372,2.29,255.8
1.6,1635,1374,2.11,255.9
1.7,1604,1391,2.25,256
1.8,1597,1375,2.42,256.2
1.9,1602,1319,2.45,256.3
2,1584,1359,2.4,256.4
2.1,1686,1362,2.44,256.4
2.2,1680,1385,2.72,256.5
2.3,1710,1402,2.5,256.6
2.4,1752,1387,2.37,256.6
2.5,1746,1419,2.63,256.7
2.6,1860,1389,2.65,256.7
2.7,3278,2512,5.19,255.2
2.8,3138,2542,3.8,255.4
2.9,3167,2572,3.62,255.5
3,3063,2565,3.89,255.6
3.1,3129,2613,3.53,255.7
3.2,3159,2630,3.87,255.8
3.3,3213,2663,3.78,255.9
3.4,3243,2697,3.58,255.9
3.5,3273,2723,3.97,256
3.6,3279,2743,3.69,256.1
3.7,3297,2741,3.57,256.2
3.8,3255,2740,3.65,256.3
3.9,3333,2705,3.55,256.4
4,3351,2765,3.56,256.5
4.1,3393,2786,3.79,256.5
4.2,3424,2827,3.95,256.5
4.3,3490,2867,3.97,256.5
4.4,3473,2909,3.94,256.7
4.5,3527,2919,4.3,256.7
4.6,3569,2951,3.91,256.8
4.7,3660,2984,4.01,256.8
4.8,3702,2966,4.16,256.9
4.9,3733,3015,4.08,256.9
5,3740,3015,3.82,257
5.1,3854,3129,4.63,257
5.2,4004,3281,4.43,256.9
5.3,4059,3330,4.32,256.9
5.4,4161,3397,4.33,256.9
5.5,4311,3477,4.23,256.8
5.6,4342,3558,4.09,256.9
5.7,4420,3643,4.18,257
5.8,4522,3742,4.42,256.9
5.9,4636,3814,4.59,256.9
6,4786,3847,4.48,256.8
6.1,4840,3954,4.39,256.8
6.2,4919,3997,4.51,256.9
6.3,5021,4062,4.64,256.9
6.4,5111,4195,4.63,256.9
6.5,5201,4285,4.68,256.9
6.6,5315,4375,4.79,256.8
6.7,5429,4507,4.8,256.8
6.8,5543,4588,4.84,256.7
6.9,5693,4629,4.91,256.7
7,5807,4734,5.13,256.7
7.1,5909,4801,5.01,256.7
7.2,5952,4921,5.08,256.7
7.3,6078,4989,4.94,256.8
7.4,6168,5021,5.11,256.8
7.5,6187,5122,5.03,256.8
7.6,6265,5195,5.08,256.8
7.7,6379,5243,5.09,256.8
7.8,6411,5350,5.37,256.8
7.9,6525,5397,5.14,256.8
8,6579,5459,4.94,256.8
8.1,6634,5547,5.21,256.9
8.2,6760,5647,5.21,256.8
8.3,6827,5688,5.26,256.9
8.4,6929,5746,5.43,256.8
8.5,7078,5843,5.32,256.8
8.6,7145,5890,5.67,256.8
8.7,7258,5977,5.5,256.8
8.8,7278,6083,5.78,256.8
8.9,7357,6149,5.59,256.8
9,7447,6204,5.55,256.8
9.1,7631,6287,5.77,256.8
9.2,7686,6378,5.66,256.8
9.3,7823,6434,5.98,256.8
9.4,7902,6500,5.74,256.9
9.5,7933,6594,5.82,256.8
9.6,8000,6674,5.7,256.8
9.7,8102,6765,5.92,256.8
9.8,8275,6898,6.05,256.8
9.9,8365,6942,5.92,256.7
10,8490,7077,5.91,256.7
10.1,8569,7125,5.83,256.7
10.2,8601,7234,6,256.7
10.3,8785,7263,6.13,256.8
10.4,8933,7472,6.2,256.7
10.5,8977,7505,5.83,256.7
10.6,9102,7601,6.24,256.7
10.7,9169,7669,5.99,256.7
10.8,9201,7774,6.19,256.7
10.9,9303,7816,6.04,256.7
11,9393,7938,6.07,256.7
11.1,9553,8012,6.24,256.6
11.2,9585,8053,6.33,256.7
11.3,9687,8083,6.57,256.7
11.4,9765,8207,6.35,256.7
11.5,9856,8302,6.39,256.7
11.6,9911,8319,6.35,256.8
11.7,10048,8473,6.46,256.7
11.8,10127,8522,6.58,256.7
11.9,10217,8562,6.7,256.7
12,10354,8724,6.77,256.7
12.1,10409,8809,6.53,256.7
12.2,10499,8891,6.77,256.7
12.3,10624,8973,6.78,256.7
12.4,10749,9060,6.98,256.6
12.5,10817,9120,6.81,256.6
12.6,10872,9196,6.81,256.7
12.7,10962,9253,6.94,256.7
12.8,11029,9329,6.69,256.8
12.9,11096,9384,6.74,256.7
13,11174,9466,6.93,256.7
13.1,11276,9558,6.96,256.7
13.2,11425,9683,7.28,256.6
13.3,11550,9804,7.05,256.6
13.4,11687,9920,6.94,256.6
13.5,11684,9959,6.84,256.6
13.6,11763,10009,6.94,256.7
13.7,11841,10003,7.03,256.7
13.8,11931,10092,6.95,256.7
13.9,12045,10166,7.11,256.7
14,12100,10215,6.92,256.7
14.1,12167,10305,6.8,256.7
14.2,12258,10402,7.35,256.7
14.3,12429,10572,7.23,256.6
14.4,12566,10678,7.27,256.5
14.5,12760,10806,7.16,256.5
14.6,12896,10956,7.26,256.4
14.7,12975,11011,7.18,256.4
14.8,12961,11055,7.25,256.5
14.9,12993,11072,7.26,256.7
15,13095,11084,7.31,256.7
15.1,13116,11162,7.47,256.7
15.2,13183,11220,7.33,256.7
15.3,13274,11304,7.54,256.7
15.4,13341,11398,7.47,256.7
15.5,13466,11468,7.38,256.7
15.6,13556,11565,7.33,256.7
15.7,13681,11653,7.57,256.7
15.8,13782,11728,7.49,256.7
15.9,13918,11848,7.44,256.7
16,13917,11863,7.55,256.7
16.1,14018,11918,7.58,256.7
16.2,14086,12009,7.53,256.7
16.3,14257,12164,7.84,256.7
16.4,14415,12264,7.83,256.5
16.5,14540,12374,7.96,256.5
16.6,14642,12541,7.84,256.5
16.7,14686,12563,7.68,256.6
16.8,14753,12682,7.75,256.6
16.9,14820,12730,7.58,256.6
17,14899,12800,7.73,256.7
17.1,14944,12846,7.38,256.7
17.2,15103,12949,7.98,256.7
17.3,15193,13067,7.89,256.5
17.4,15283,13147,7.92,256.6
17.5,15442,13251,8.07,256.5
17.6,15418,13257,7.91,256.6
17.7,15428,13344,8,256.7
17.8,15530,13414,7.88,256.7
17.9,15586,13499,8.18,256.7
18,15653,13572,8.06,256.7
18.1,15789,13649,8.11,256.7
18.2,15925,13750,8.01,256.7
18.3,16015,13834,8.04,256.7
18.4,16117,13980,8.05,256.7
18.5,16207,14013,8.16,256.6
18.6,16297,14068,7.96,256.7
18.7,16353,14161,8.18,256.7
18.8,16352,14197,8.05,256.8
18.9,16477,14261,8.28,256.8
19,16556,14367,8.16,256.8
19.1,16680,14425,8.43,256.8
19.2,16793,14537,8.15,256.7
19.3,16838,14603,8.25,256.7
19.4,16951,14674,8.2,256.7
19.5,16996,14760,8.4,256.8
19.6,17063,14874,8.34,256.8
19.7,17199,14956,8.33,256.8
19.8,17266,15022,8.24,256.8
19.9,17413,15144,8.42,256.8
20,17447,15204,8.38,256.8
20.1,17515,15300,8.4,256.8
20.2,17650,15384,8.2,256.8
20.3,17684,15465,8.37,256.8
20.4,17854,15523,8.57,256.7
20.5,17966,15619,8.6,256.8
20.6,18091,15703,8.81,256.7
20.7,18090,15742,8.28,256.8
20.8,18214,15824,8.57,256.8
20.9,18259,15906,8.48,256.8
21,18350,16008,8.79,256.8
