CO2 Time,Total Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas, CH Pressure
(hrs),(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
0,361.5381706,4095.597751,3044.416325,719.379535,0,69755.57105,255.804121
0.011394572,361.5495651,4095.597751,3044.511676,720.3470541,0.119560212,69771.69194,255.8449564
0.028339017,361.5665096,4095.597751,3044.671069,719.3399685,0.294439105,69727.72711,255.804121
0.045005683,361.5831762,4095.597751,3044.92012,719.6527222,0.469317998,69739.01707,255.9266268
0.06167235,361.5998429,4095.597751,3044.940044,719.7491481,0.644196891,69753.75165,255.7632856
0.078061239,361.6162318,4095.597751,3045.16917,719.7793158,0.818028605,69745.99699,255.804121
0.095005683,361.6331762,4095.597751,3045.288715,719.8891472,0.992907498,69747.12837,255.8857916
0.111394572,361.6495651,4095.597751,3045.468031,719.7098307,1.167786391,69738.40042,255.7088382
0.128339017,361.6665096,4095.597751,3045.627424,720.0590541,1.342665284,69777.36293,255.9266268
0.145005683,361.6831762,4095.597751,3045.836626,719.5207471,1.51440264,69789.52089,255.7088382
0.16167235,361.6998429,4095.597751,3045.926285,720.3485919,1.689281533,69762.02161,255.7088382
0.178339017,361.7165096,4095.597751,3046.185298,719.1321846,1.864160426,69789.16006,255.8449564
0.195005683,361.7331762,4095.597751,3046.3945,719.2820049,2.039039319,69779.63398,255.804121
0.211394572,361.7495651,4095.597751,3046.504082,719.8007128,2.212871033,69803.36943,255.7632856
0.228339017,361.7665096,4095.597751,3046.643551,719.47176,2.387749926,69810.43704,255.804121
0.244727906,361.7828985,4095.597751,3046.822867,719.5517378,2.562628819,69820.03378,255.804121
0.261394572,361.7995651,4095.597751,3046.972298,719.5751703,2.737507712,69784.28572,255.6680025
0.278339017,361.8165096,4095.597751,3047.221349,719.8114654,2.912386605,69792.20252,255.8857916
0.295005683,361.8331762,4095.597751,3047.320969,718.864152,3.087265498,69784.14217,255.8449564
0.31167235,361.8498429,4095.597751,3047.500285,719.7718772,3.262144391,69804.66977,255.6680025
0.328339017,361.8665096,4095.597751,3047.500285,719.7718772,3.437023284,69791.20912,255.804121
0.345005683,361.8831762,4095.597751,3047.76926,719.1239337,3.611902177,69784.26705,255.7632856
0.36167235,361.8998429,4095.597751,3047.928653,719.4332656,3.78678107,69774.11367,255.9266268
0.378339017,361.9165096,4095.597751,3048.098007,719.5431512,3.961659963,69775.61368,255.7632856
0.394727906,361.9328985,4095.597751,3048.267362,719.5533082,4.135491677,69788.67477,255.804121
0.41167235,361.9498429,4095.597751,3048.416792,719.2642577,4.31037057,69781.10834,255.8857916
0.428339017,361.9665096,4095.597751,3048.576185,719.5037796,4.485249463,69787.84384,255.7632856
0.444727906,361.9828985,4095.597751,3048.825235,719.5339689,4.660128356,69818.15787,255.7088382
0.461394572,361.9995651,4095.597751,3048.885008,719.8232468,4.83396007,69793.16703,255.8449564
0.478339017,362.0165096,4095.597751,3049.074286,719.6738597,5.006744605,69836.17235,255.8449564
0.494727906,362.0328985,4095.597751,3049.203793,719.3149775,5.181623498,69797.38762,255.8449564
0.511394572,362.0495651,4095.597751,3049.323337,719.5045918,5.355455212,69803.09919,255.8449564
0.528061239,362.0662318,4095.597751,3049.522578,719.3452427,5.531381284,69821.56548,255.9266268
0.545005683,362.0831762,4095.597751,3049.612236,719.9337389,5.706260177,69810.07083,255.7632856
0.56167235,362.0998429,4095.597751,3049.791552,719.7544224,5.88113907,69819.96894,255.6680025
0.578061239,362.1162318,4095.597751,3049.950945,719.375627,6.056017963,69832.50853,255.8857916
0.594727906,362.1328985,4095.597751,3050.120299,719.1464353,6.230896856,69830.49968,255.5454948
0.61167235,362.1498429,4095.597751,3050.239844,719.6452082,6.405775749,69809.76915,255.7632856
0.628339017,362.1665096,4095.597751,3050.459008,718.7877805,6.577513105,69830.89408,255.804121
0.645005684,362.1831762,4095.597751,3050.578553,719.5957122,6.752391998,69817.43985,255.7632856
0.66167235,362.1998429,4095.597751,3050.817641,719.6558092,6.927270891,69831.06167,255.804121
0.678339017,362.2165096,4095.597751,3050.887376,719.1472692,7.102149784,69833.00531,255.8449564
0.695005684,362.2331762,4095.597751,3051.05673,718.9779147,7.277028677,69856.43086,255.8449564
0.711394572,362.2495651,4095.597751,3051.176275,719.3171219,7.45190757,69852.68685,255.8857916
0.728339017,362.2665096,4095.597751,3051.365553,719.6663778,7.626786463,69866.9449,255.7088382
0.744727906,362.2828985,4095.597751,3051.54487,719.3873326,7.800618177,69821.99061,255.804121
0.76167235,362.2998429,4095.597751,3051.724186,719.4174461,7.974449891,69857.71737,255.8857916
0.778061239,362.3162318,4095.597751,3051.803882,719.7765557,8.149328784,69846.17881,255.804121
0.795005683,362.3331762,4095.597751,3052.052933,719.0787263,8.324207677,69868.95696,255.804121
0.81167235,362.3498429,4095.597751,3052.142591,719.6472768,8.49908657,69852.8638,255.804121
0.828339017,362.3665096,4095.597751,3052.341832,719.4879276,8.673965463,69853.53208,255.7088382
0.844727906,362.3828985,4095.597751,3052.4813,718.8996805,8.848844356,69849.3165,255.804121
0.861394572,362.3995651,4095.597751,3052.710427,719.9271342,9.023723249,69838.22035,255.9674618
0.878339017,362.4165096,4095.597751,3052.849896,719.3887513,9.198602142,69839.88472,255.7632856
0.895005683,362.4331762,4095.597751,3052.989364,719.7977902,9.370339498,69851.834,255.8449564
0.911394572,362.4495651,4095.597751,3053.098946,719.2892935,9.545218391,69843.44865,255.7632856
