Time,Cum. Inj Water ,Cum. Prod Water ,Cum Oil prod.  ,Cum. Inj CO2,Cum. Prod CO2,Pressure
(hrs),(rml),(sep-ml),(sep_ml),(rml),(std.cc),bara
0.000,0.000,0.000,0.000,0.000,0,253.8016611
0.017,0.036,-0.550,0.760,0.000,0,253.8425658
0.033,0.070,-2.170,2.540,0.000,0,253.8425658
0.050,0.105,-1.330,1.770,0.000,0,253.8834703
0.067,0.139,-1.067,1.547,0.000,0,253.8425658
0.083,0.175,-0.790,1.310,0.000,0,253.815296
0.100,0.209,-0.210,0.730,0.000,0,253.8289309
0.117,0.245,0.300,0.220,0.000,0,253.8289309
0.133,0.280,0.040,0.490,0.000,0,253.8698355
0.150,0.314,0.150,0.380,0.000,0,253.8562006
0.167,0.350,0.200,0.340,0.000,0,253.8834703
0.183,0.384,0.210,0.360,0.000,0,253.8698355
0.200,0.419,0.840,-0.260,0.000,0,253.8698355
0.217,0.455,0.240,0.320,0.000,0,253.9380096
0.233,0.489,0.294,0.296,0.000,0,253.9652792
0.250,0.524,0.322,0.298,0.000,0,253.91074
0.267,0.559,0.070,0.540,0.000,0,253.9925488
0.283,0.594,0.110,0.550,0.000,0,254.1152614
0.300,0.628,0.510,0.160,0.000,0,254.210704
0.317,0.663,0.316,0.324,0.000,0,254.3061462
0.333,0.699,0.364,0.346,0.000,0,253.6653117
0.350,0.733,0.290,0.410,0.000,0,253.0926345
0.367,0.769,0.320,0.430,0.000,0,253.0244576
0.383,0.803,0.350,0.380,0.000,0,252.9835513
0.400,0.838,0.460,0.320,0.000,0,253.1062698
0.417,0.873,0.220,0.530,0.000,0,253.2835286
0.433,0.908,0.000,0.900,0.000,0,253.4471508
0.450,0.943,0.390,0.620,0.000,0,253.5562315
0.467,0.978,0.280,0.800,0.000,0,253.6789467
0.483,1.013,-0.120,1.230,0.000,0,253.8289309
0.500,1.047,0.590,0.530,0.000,0,253.9652792
0.517,1.083,0.460,0.610,0.000,0,254.0743573
0.533,1.118,-0.130,1.280,0.000,0,254.2379733
0.550,1.153,0.336,0.804,0.000,0,254.374319
0.567,1.188,0.460,0.700,0.000,0,254.5242982
0.583,1.222,0.300,0.930,0.000,0,254.6470077
0.600,1.257,0.428,0.892,0.000,0,254.7697164
0.617,1.293,0.530,0.900,0.000,0,254.9196928
0.633,1.327,0.420,1.040,0.000,0,253.7743913
0.650,1.363,0.304,1.166,0.000,0,253.7607564
0.667,1.397,0.240,1.230,0.000,0,253.8834703
0.683,1.432,0.060,1.470,0.000,0,254.0198183
0.700,1.466,0.270,1.320,0.000,0,254.1970694
0.717,1.502,-0.110,1.620,0.000,0,254.3061462
0.733,1.537,0.500,1.150,0.000,0,254.4152225
0.750,1.572,0.180,1.810,0.000,0,254.5924702
0.767,1.607,0.130,1.910,0.000,0,254.7151793
0.783,1.641,0.198,1.842,0.000,0,254.9196928
0.800,1.677,0.250,1.820,0.000,0,254.9878636
0.817,1.712,0.130,1.990,0.000,0,255.0696682
0.833,1.746,0.350,1.750,0.000,0,254.619739
0.850,1.781,0.320,1.820,0.000,0,254.7288136
0.867,1.816,-0.050,2.210,0.000,0,254.8378877
0.883,1.851,-0.080,2.250,0.000,0,255.0287659
0.900,1.886,-0.210,2.400,0.000,0,255.1105703
0.917,1.921,-0.010,2.180,0.000,0,255.2196424
0.933,1.956,0.310,1.840,0.000,0,255.3559817
0.950,1.990,-1.060,3.250,0.000,0,255.4514187
0.967,2.026,0.334,1.856,0.000,0,255.5468552
0.983,2.060,2.110,0.070,0.000,0,255.655925
1.000,2.096,0.412,1.818,0.000,0,255.7922615
1.017,2.131,0.320,1.900,0.000,0,255.874063
1.033,2.165,0.632,1.598,0.000,0,254.6061046
1.050,2.200,0.280,1.920,0.000,0,254.5924702
1.067,2.235,0.210,2.140,0.000,0,254.701545
1.083,2.270,0.240,2.430,0.000,0,254.8515219
1.100,2.305,0.366,2.454,0.000,0,254.9605953
1.117,2.340,0.388,2.522,0.000,0,255.0560341
1.134,2.375,0.390,2.500,0.000,0,255.1514724
1.150,2.409,0.710,2.210,0.000,0,255.2469103
1.167,2.445,0.490,2.490,0.000,0,255.3287139
1.184,2.480,0.370,2.590,0.000,0,254.1288961
1.200,2.515,0.350,2.640,0.000,0,254.087992
1.217,2.550,-0.135,3.135,0.000,0,254.210704
1.234,2.584,0.480,2.540,0.000,0,254.3334153
1.250,2.619,-0.160,3.190,0.000,0,254.4697604
1.267,2.654,-1.230,4.250,0.000,0,254.5924702
1.284,2.690,0.350,2.720,0.000,0,254.6879107
1.300,2.724,0.270,2.750,0.000,0,254.7697164
1.317,2.759,0.070,3.000,0.000,0,254.9469612
1.334,2.794,0.560,2.680,0.000,0,255.0424
1.350,2.829,0.208,3.132,0.000,0,255.1651064
1.367,2.864,0.193,3.277,0.000,0,255.2878122
1.384,2.898,0.030,3.470,0.000,0,255.3832495
1.400,2.934,0.110,3.430,0.000,0,255.5195877
1.417,2.969,0.012,3.508,0.000,0,255.6695587
1.434,3.003,-0.090,3.610,0.000,0,254.7151793
1.450,3.039,-0.150,3.710,0.000,0,254.7424479
1.467,3.073,0.310,3.230,0.000,0,254.8242534
1.484,3.108,0.350,3.210,0.000,0,254.933327
1.500,3.143,-0.290,3.870,0.000,0,255.0696682
1.517,3.178,0.040,3.550,0.000,0,255.2060084
1.534,3.214,0.080,3.510,0.000,0,255.2878122
1.550,3.248,0.100,3.500,0.000,0,255.3832495
1.567,3.283,0.080,3.530,0.000,0,255.5195877
1.584,3.317,0.390,3.270,0.000,0,255.655925
1.600,3.353,0.440,3.250,0.000,0,255.7513607
1.617,3.388,0.312,3.538,0.000,0,255.8331623
1.634,3.423,0.490,3.570,0.000,0,255.7649943
1.650,3.458,0.220,3.940,0.000,0,255.7922615
1.667,3.492,0.250,4.080,0.000,0,253.6925817
1.684,3.527,0.050,4.370,0.000,0,253.6244067
1.700,3.562,0.210,4.280,0.000,0,253.6925817
1.717,3.597,0.360,4.180,0.000,0,253.7743913
