Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
1.530,19.233,-0.292,14.820,0.000,1630.573,296.352
1.546,19.442,-0.043,14.526,0.000,1641.874,296.311
1.563,19.648,-0.372,15.149,0.000,1659.952,296.311
1.580,19.859,-0.302,15.149,0.000,1676.659,296.474
1.596,20.068,-0.183,14.980,0.000,1700.074,296.311
1.613,20.279,0.166,15.259,0.000,1704.937,296.189
1.630,20.488,-0.242,15.249,0.000,1716.076,296.433
1.646,20.699,-0.262,15.598,0.000,1755.726,296.270
1.663,20.908,-0.212,16.465,0.000,1768.527,296.433
1.680,21.118,-0.163,16.186,0.000,1762.326,296.352
1.696,21.328,-0.173,16.655,0.000,1785.448,296.230
1.713,21.538,-0.043,16.845,0.000,1820.281,296.474
1.730,21.744,-0.023,16.944,0.000,1822.675,296.270
1.746,21.953,-0.043,17.194,0.000,1842.884,296.311
1.763,22.163,-0.043,17.194,0.000,1836.211,296.311
1.780,22.372,-0.272,17.423,0.000,1851.238,296.270
1.796,22.583,0.027,17.373,0.000,1907.174,296.393
1.813,22.792,-0.023,17.792,0.000,1917.030,296.352
1.830,23.002,-0.043,17.912,0.000,1909.013,296.433
1.846,23.211,-0.242,18.332,0.000,1949.142,296.311
1.863,23.421,-0.392,18.889,0.000,1969.437,296.270
1.880,23.631,-0.033,18.729,0.000,1968.086,296.352
1.896,23.841,-0.093,18.400,0.000,1992.796,296.352
1.913,24.050,-0.192,18.659,0.000,2008.328,296.352
1.930,24.260,-0.272,19.627,0.000,2027.148,296.352
1.946,24.470,-0.232,19.916,0.000,2065.307,296.148
1.963,24.680,-0.073,19.497,0.000,2045.698,296.270
1.980,24.889,0.007,19.846,0.000,2069.547,296.270
1.996,25.098,-0.043,20.305,0.000,2106.314,296.311
2.013,25.309,-0.043,20.305,0.000,2141.140,296.393
2.030,25.515,-0.521,20.654,0.000,2136.964,296.393
2.046,25.726,0.156,20.226,0.000,2188.006,296.393
2.063,25.935,-0.053,20.714,0.000,2161.254,296.393
2.080,26.145,-0.153,20.983,0.000,2171.097,296.474
2.096,26.355,0.017,20.754,0.000,2195.534,296.270
2.113,26.565,0.007,20.804,0.000,2221.874,296.352
2.130,26.774,-0.113,21.612,0.000,2218.320,296.270
2.146,26.985,-0.312,21.272,0.000,2266.737,296.311
2.163,27.194,-0.252,21.083,0.000,2276.176,296.433
2.180,27.404,-0.302,22.020,0.000,2316.062,296.311
2.196,27.613,-0.511,22.289,0.000,2316.397,296.230
2.213,27.824,-0.192,22.499,0.000,2333.046,296.393
2.230,28.030,-0.302,22.180,0.000,2352.797,296.515
2.246,28.239,-0.103,22.050,0.000,2369.865,296.230
2.263,28.449,-0.103,22.050,0.000,2387.683,296.352
2.280,28.658,-0.212,22.260,0.000,2381.930,296.352
2.296,28.868,-0.232,22.978,0.000,2406.503,296.311
2.313,29.078,-0.372,22.798,0.000,2438.271,296.270
2.330,29.289,-0.113,22.888,0.000,2441.127,296.393
2.346,29.498,-0.013,23.167,0.000,2456.550,296.230
2.363,29.708,-0.541,23.739,0.000,2493.451,296.352
2.380,29.917,0.017,23.676,0.000,2510.067,296.596
2.396,30.127,-0.023,23.776,0.000,2506.834,296.556
2.413,30.336,-0.183,23.566,0.000,2558.935,296.352
2.430,30.547,-0.292,23.835,0.000,2547.602,296.311
2.446,30.756,-0.192,24.155,0.000,2574.733,296.352
2.463,30.966,-0.352,24.204,0.000,2572.666,296.393
2.480,31.175,-0.332,24.793,0.000,2633.915,296.270
2.496,31.384,-0.222,24.713,0.000,2629.541,296.352
2.513,31.591,-0.202,24.873,0.000,2650.550,296.352
2.530,31.801,-0.202,24.873,0.000,2645.254,296.230
2.546,32.011,-0.212,24.633,0.000,2670.107,296.270
2.563,32.220,-0.143,25.232,0.000,2689.755,296.393
