Time (h),Cum. Gas Inj (SCC),Cum. Gas Prod. (SCC),Cum Oil Prod. (SCC),Pressure (atm)
0,0,0,0,255.55
0.01,17.57,43.35,0,255.53
0.02,74.19,61.42,0.18,255.44
0.03,100.04,94.3,0.37,255.4
0.04,130.49,125.99,0.37,255.34
0.05,152.04,142.74,0.37,255.31
0.06,173.91,158.12,0.59,255.29
0.07,213.34,207.74,0.75,255.25
0.08,234.88,258.86,0.75,255.22
0.09,282.54,306.99,0.83,255.11
0.1,295.8,344.96,0.83,255.11
0.11,325.95,382.62,0.97,255.06
0.12,343.51,398.61,0.97,255.04
0.13,391.53,450.18,1.05,254.97
0.14,417.37,484.71,1.05,254.93
0.15,439.23,513.85,1.21,254.91
0.16,474,540.75,1.21,254.84
0.17,482.63,567.66,1.29,254.85
0.18,504.83,627.29,1.41,254.86
0.19,517.77,657.19,1.41,254.86
0.2,539.62,675.72,1.47,254.84
0.21,565.77,694.7,1.47,254.8
0.22,574.41,727.74,1.59,254.81
0.23,626.71,753.74,1.59,254.73
0.24,639.95,709.49,1.63,254.73
0.25,639.99,673.17,1.63,254.77
0.26,666.13,648.05,1.66,254.73
0.27,666.17,653.28,1.66,254.77
0.28,703.98,675.4,1.79,254.73
0.29,724.76,680.78,1.81,254.69
0.3,728.35,702.31,1.81,254.7
0.31,749.13,707.09,1.84,254.66
0.32,748.41,705,1.84,254.69
0.33,768.48,729.06,1.91,254.67
0.34,776.36,736.98,1.91,254.67
0.35,779.95,753.72,1.93,254.69
0.36,787.83,762.99,1.93,254.69
0.37,804.31,763.74,1.96,254.66
0.38,828.67,779.43,1.96,254.63
0.39,845.14,779.58,1.96,254.61
0.4,844.43,797.97,1.98,254.63
0.41,852.32,795.43,1.98,254.63
0.42,873.09,804.1,1.98,254.59
0.43,880.26,825.02,2,254.62
0.44,909.62,836.38,2.02,254.55
0.45,917.5,841.61,2.02,254.55
0.46,908.2,841.31,2.03,254.61
0.47,933.26,844,2.03,254.55
0.48,931.84,845.5,2.04,254.61
0.49,935.43,846.99,2.04,254.62
0.5,930.44,829.8,2.04,254.66
0.51,946.91,820.23,2.04,254.63
0.52,954.79,819.79,2.03,254.63
0.53,953.71,821.73,2.05,254.69
0.54,965.88,820.09,2.05,254.67
0.55,965.19,825.32,2.07,254.7
0.56,985.62,819.34,2.07,254.66
0.57,989.53,825.47,2.14,254.67
0.58,988.15,828.75,2.16,254.73
0.59,996.04,837.42,2.16,254.73
0.6,999.64,834.58,2.17,254.74
0.61,998.95,837.72,2.17,254.77
0.62,1002.55,838.17,2.17,254.78
0.63,1022.61,843.85,2.18,254.77
0.64,1034.78,842.66,2.15,254.76
0.65,1029.82,848.49,2.15,254.8
0.66,1033.42,851.18,2.19,254.81
0.67,1019.91,853.57,2.19,254.88
0.68,1039.97,845.64,2.21,254.86
0.69,1052.13,858.5,2.24,254.85
0.7,1042.91,861.04,2.24,254.91
0.71,1046.53,849.83,2.24,254.92
0.72,1067.24,855.51,2.22,254.88
0.73,1083.02,856.26,2.2,254.88
0.74,1086.63,860.44,2.2,254.89
0.75,1077.43,857.9,2.24,254.95
0.76,1085.32,861.19,2.24,254.95
0.77,1088.93,863.73,2.24,254.96
0.78,1104.71,864.33,2.23,254.96
0.79,1108.33,866.87,2.23,254.97
0.8,1107.68,866.27,2.23,255
0.81,1102.77,866.27,2.23,255.04
0.82,1110.66,869.56,2.23,255.04
0.83,1122.18,871.65,2.25,255.06
0.84,1134.34,874.49,2.3,255.04
0.85,1133.7,877.48,2.3,255.07
0.86,1137.33,872.1,2.24,255.08
0.87,1145.22,877.03,2.24,255.08
0.88,1148.22,885.4,2.29,255.12
0.89,1160.37,883.31,2.29,255.11
0.9,1164.01,885.85,2.29,255.12
0.91,1167.64,885.4,2.29,255.14
0.92,1171.27,880.47,2.22,255.15
0.93,1191.32,897.36,2.26,255.14
0.94,1195.27,896.17,2.26,255.15
0.95,1198.59,899.31,2.25,255.16
0.96,1206.81,896.91,2.25,255.16
0.97,1214.39,904.39,2.29,255.16
0.98,1217.4,899.31,2.29,255.21
0.99,1229.56,906.78,2.3,255.19
1,1233.51,904.84,2.3,255.21
1.01,1241.41,904.54,2.29,255.21
1.02,1236.54,904.84,2.29,255.25
1.03,1265.1,907.53,2.28,255.21
1.04,1251.73,914.4,2.28,255.27
1.05,1255.37,915,2.28,255.29
1.06,1279.97,915.15,2.28,255.23
1.07,1279.36,922.77,2.29,255.26
1.08,1282.4,917.84,2.3,255.3
1.09,1303.05,915.45,2.3,255.26
1.1,1298.2,925.61,2.33,255.3
1.11,1297.6,918.14,2.33,255.33
1.12,1314,923.52,2.32,255.3
1.13,1334.04,929.35,2.31,255.29
1.14,1329.2,923.07,2.31,255.33
1.15,1341.35,928.6,2.27,255.31
1.16,1349.25,925.91,2.27,255.31
1.17,1352.9,934.28,2.27,255.33
1.18,1364.45,948.18,2.31,255.34
1.19,1368.11,945.34,2.32,255.36
1.2,1380.25,936.67,2.32,255.34
1.21,1371.18,942.06,2.31,255.4
1.22,1391.81,945.34,2.31,255.36
1.23,1403.37,953.71,2.31,255.37
1.24,1411.27,950.87,2.34,255.37
1.25,1423.41,956.7,2.34,255.36
1.26,1427.07,956.7,2.34,255.37
1.27,1430.73,955.96,2.34,255.38
1.28,1438.05,953.56,2.34,255.41
1.29,1445.95,959.1,2.34,255.41
1.3,1449.62,972.4,2.34,255.42
1.31,1453.28,969.71,2.34,255.44
1.32,1473.9,977.93,2.34,255.4
1.33,1485.46,970.01,2.32,255.41
1.34,1497.91,967.02,2.32,255.4
1.35,1493.11,980.02,2.32,255.44
1.36,1496.77,977.18,2.34,255.45
1.37,1504.68,969.11,2.34,255.45
1.38,1516.25,980.17,2.37,255.46
1.39,1532.62,985.4,2.36,255.44
1.4,1519.36,980.17,2.36,255.51
1.41,1527.26,990.64,2.35,255.51
1.42,1539.4,991.08,2.35,255.49
1.43,1563.67,988.84,2.35,255.46
1.44,1567.34,992.13,2.35,255.48
1.45,1566.78,991.98,2.4,255.51
1.46,1574.68,990.78,2.4,255.51
1.47,1582.59,997.06,2.34,255.51
1.48,1585.71,1001.25,2.37,255.55
1.49,1602.07,1001.25,2.37,255.52
1.5,1609.98,995.72,2.36,255.52
1.51,1617.88,1000.95,2.36,255.52
1.52,1604.66,1001.1,2.35,255.59
1.53,1620.47,1013.51,2.35,255.59
1.54,1632.6,1005.14,2.37,255.57
1.55,1627.83,1007.68,2.37,255.61
1.56,1635.74,1002.45,2.36,255.61
1.57,1643.65,998.11,2.36,255.61
1.58,1659.46,1005.58,2.3,255.61
1.59,1663.15,1004.99,2.35,255.63
1.6,1671.05,1002.89,2.35,255.63
1.61,1674.74,1007.98,2.41,255.64
1.62,1678.43,1014.55,2.41,255.66
1.63,1694.24,1012.01,2.4,255.66
1.64,1689.81,1022.62,2.4,255.7
1.65,1684.76,1022.47,2.39,255.74
1.66,1705.63,1027.71,2.39,255.7
1.67,1696.68,1019.34,2.42,255.75
1.68,1708.8,1016.94,2.42,255.74
1.69,1711.98,1017.24,2.41,255.78
1.7,1724.11,1027.56,2.38,255.76
1.71,1732.02,1021.58,2.38,255.76
1.72,1731.5,1024.42,2.38,255.79
1.73,1747.52,1021.43,2.41,255.76
1.74,1755.24,1029.95,2.46,255.79
1.75,1763.15,1028.45,2.46,255.79
1.76,1762.64,1034.28,2.46,255.82
1.77,1766.34,1036.97,2.46,255.83
1.78,1778.46,1037.27,2.4,255.82
1.79,1785.87,1054.01,2.43,255.85
1.8,1789.58,1051.02,2.43,255.86
1.81,1789.08,1050.28,2.43,255.89
1.82,1801.2,1046.84,2.47,255.87
1.83,1804.91,1055.95,2.47,255.89
1.84,1812.33,1055.81,2.42,255.91
1.85,1811.84,1059.24,2.42,255.94
1.86,1828.15,1061.78,2.42,255.91
1.87,1831.87,1067.61,2.43,255.93
1.88,1843.98,1073.44,2.43,255.91
1.89,1847.21,1078.97,2.46,255.96
1.9,1863.52,1090.18,2.46,255.93
1.91,1867.24,1101.09,2.46,255.94
1.92,1875.15,1099.15,2.46,255.94
1.93,1870.47,1110.06,2.46,255.98
1.94,1907.29,1179.71,2.55,255.91
1.95,1919.4,1204.67,2.55,255.9
1.96,1935.72,1211.85,2.55,255.87
1.97,1947.83,1214.09,2.55,255.86
1.98,1959.94,1217.53,2.56,255.85
1.99,1971.88,1230.08,2.56,255.86
2,2000.47,1229.34,2.52,255.79
2.01,1987.71,1237.56,2.52,255.86
2.02,2012.09,1243.39,2.58,255.81
2.03,2032.92,1248.92,2.58,255.76
2.04,2040.34,1258.79,2.55,255.79
2.05,2056.65,1266.56,2.52,255.76
2.06,2068.76,1269.4,2.52,255.75
2.07,2055.68,1274.18,2.5,255.82
2.08,2076.18,1288.09,2.5,255.78
2.09,2100.4,1292.57,2.53,255.75
2.1,2099.91,1269.26,2.53,255.78
2.11,2103.63,1267.76,2.49,255.79
2.12,2119.93,1262.08,2.49,255.76
2.13,2127.84,1261.19,2.52,255.76
2.14,2147.86,1261.79,2.47,255.75
2.15,2134.8,1257.45,2.47,255.82
2.16,2142.71,1262.24,2.53,255.82
2.17,2142.23,1258.95,2.53,255.85
2.18,2145.96,1275.98,2.53,255.86
2.19,2186.93,1356.84,2.6,255.78
2.2,2194.84,1374.03,2.64,255.78
2.21,2202.75,1403.77,2.64,255.78
2.22,2219.04,1409.45,2.71,255.75
2.23,2243.73,1427.68,2.71,255.7
2.24,2267.93,1451.9,2.69,255.67
2.25,2275.84,1468.04,2.71,255.67
2.26,2287.94,1461.92,2.71,255.66
2.27,2300.04,1478.36,2.71,255.64
2.28,2316.33,1480.45,2.68,255.61
2.29,2336.34,1493.91,2.67,255.6
2.3,2365.53,1513.19,2.67,255.53
2.31,2352.15,1532.47,2.71,255.6
2.32,2360.37,1532.17,2.71,255.6
2.33,2372.16,1545.47,2.7,255.59
2.34,2400.54,1569.69,2.72,255.55
2.35,2408.77,1580.6,2.72,255.55
2.36,2429.25,1588.52,2.73,255.51
2.37,2432.96,1596.89,2.73,255.52
2.38,2453.44,1601.83,2.73,255.48
2.39,2477.64,1631.87,2.74,255.45
2.4,2493.93,1630.97,2.74,255.42
2.41,2489.25,1647.57,2.74,255.46
2.42,2505.54,1663.56,2.75,255.44
2.43,2509.25,1666.25,2.75,255.45
2.44,2529.24,1690.02,2.77,255.44
2.45,2528.76,1695.99,2.78,255.46
2.46,2549.24,1709.3,2.78,255.42
2.47,2561.33,1711.84,2.78,255.41
2.48,2569.23,1725.14,2.78,255.41
2.49,2585.04,1749.21,2.77,255.41
2.5,2597.13,1760.27,2.77,255.4
2.51,2617.6,1768.49,2.8,255.36
2.52,2612.93,1779.85,2.8,255.4
2.53,2625.02,1790.01,2.81,255.38
2.54,2649.2,1800.63,2.8,255.36
2.55,2657.1,1819.61,2.8,255.36
2.56,2665,1825.14,2.8,255.36
2.57,2677.09,1830.07,2.84,255.34
2.58,2684.99,1843.83,2.84,255.34
2.59,2717.55,1862.06,2.88,255.29
2.6,2717.07,1870.13,2.85,255.31
2.61,2716.59,1878.5,2.85,255.34
2.62,2728.68,1886.13,2.85,255.33
2.63,2749.15,1900.63,2.85,255.29
2.64,2756.57,1914.37,2.88,255.31
2.65,2756.09,1924.54,2.88,255.34
2.66,2763.99,1937.85,2.87,255.34
2.67,2792.83,1951.3,2.87,255.27
2.68,2800.72,1954.29,2.9,255.27
2.69,2812.33,1977.76,2.86,255.29
2.7,2820.55,1977.91,2.86,255.29
2.71,2836.82,1983.44,2.85,255.26
2.72,2853.09,1999.73,2.85,255.23
2.73,2856.8,2010.79,2.9,255.25
2.74,2876.47,2023.94,2.9,255.23
2.75,2884.68,2026.48,2.94,255.23
2.76,2883.89,2039.49,2.94,255.26
2.77,2904.66,2039.34,2.91,255.22
2.78,2912.55,2044.57,2.91,255.22
2.79,2924.16,2052.64,2.95,255.23
2.8,2927.88,2066.54,2.96,255.25
2.81,2931.59,2076.86,2.96,255.26
2.82,2952.04,2084.33,2.96,255.22
2.83,2951.57,2084.19,2.95,255.25
2.84,2984.09,2095.54,3.01,255.19
2.85,2979.45,2103.17,3.01,255.23
2.86,2999.89,2103.62,2.98,255.19
2.87,2995.24,2103.47,2.98,255.23
2.88,3007.32,2106.3,3.01,255.22
2.89,3023.11,2121.41,3,255.22
2.9,3043.55,2124.69,3,255.18
2.91,3026.37,2127.83,3.02,255.26
2.92,3042.62,2129.92,3.02,255.23
2.93,3033.81,2135.16,3.02,255.29
2.94,3070.49,2143.67,3.05,255.22
2.95,3070.03,2151.75,3.04,255.25
2.96,3082.11,2151.6,3.04,255.23
2.97,3090.01,2158.02,3.06,255.23
2.98,3093.73,2165.05,3.06,255.25
2.99,3105.35,2170.28,3.07,255.26
3,3121.59,2186.57,3.07,255.23
3.01,3121.14,2185.98,3.07,255.26
3.02,3124.87,2188.97,3.07,255.27
3.03,3145.6,2202.57,3.06,255.23
3.04,3157.22,2207.65,3.09,255.25
3.05,3164.8,2213.33,3.09,255.25
3.06,3168.85,2219.01,3.07,255.26
3.07,3160.06,2210.64,3.07,255.31
3.08,3172.13,2205.85,3.07,255.3
3.09,3192.1,2242.93,3.09,255.29
3.1,3191.66,2254.14,3.09,255.31
3.11,3199.55,2268.03,3.09,255.31
3.12,3219.96,2272.97,3.11,255.27
3.13,3223.37,2267.29,3.11,255.29
3.14,3222.82,2281.19,3.08,255.34
3.15,3239.05,2283.28,3.1,255.31
3.16,3242.78,2286.42,3.1,255.33
3.17,3246.52,2292.25,3.09,255.34
3.18,3254.42,2294.49,3.09,255.34
3.19,3262.32,2294.64,3.13,255.34
3.2,3278.12,2321.55,3.13,255.34
3.21,3286.02,2321.25,3.15,255.34
3.22,3293.92,2334.85,3.15,255.34
3.23,3289.33,2329.17,3.14,255.38
3.24,3301.39,2337.39,3.14,255.37
3.25,3317.19,2348.9,3.13,255.37
3.26,3320.93,2340.53,3.17,255.38
3.27,3332.99,2353.68,3.17,255.37
3.28,3349.22,2364.59,3.19,255.34
3.29,3352.95,2364.89,3.19,255.36
3.3,3360.44,2372.52,3.14,255.38
3.31,3364.18,2377.75,3.14,255.4
3.32,3372.08,2383.73,3.14,255.4
3.33,3384.14,2388.66,3.14,255.38
3.34,3387.88,2388.66,3.11,255.4
3.35,3407.84,2402.71,3.18,255.38
3.36,3415.74,2413.32,3.18,255.38
3.37,3415.65,2404.51,3.16,255.41
3.38,3431.54,2420.8,3.16,255.38
3.39,3423.14,2421.25,3.16,255.44
3.4,3446.94,2423.94,3.21,255.41
3.41,3454.84,2426.63,3.19,255.41
3.42,3458.9,2429.02,3.19,255.42
3.43,3470.64,2440.23,3.2,255.41
3.44,3474.7,2445.46,3.2,255.42
3.45,3490.51,2456.22,3.17,255.42
3.46,3498.41,2461.75,3.19,255.42
3.47,3510.46,2468.03,3.19,255.41
3.48,3510.06,2467.58,3.19,255.44
3.49,3526.27,2469.97,3.2,255.41
3.5,3537.92,2480.59,3.22,255.42
3.51,3545.82,2484.02,3.22,255.42
3.52,3541.28,2486.41,3.22,255.46
3.53,3561.63,2489.4,3.22,255.42
3.54,3577.83,2491.65,3.24,255.4
3.55,3581.18,2508.09,3.21,255.44
3.56,3572.5,2510.48,3.21,255.49
3.57,3592.84,2513.02,3.21,255.45
3.58,3604.89,2516.61,3.23,255.44
3.59,3612.79,2515.86,3.23,255.44
3.6,3616.16,2534.84,3.25,255.48
3.61,3615.78,2532.3,3.24,255.51
3.62,3627.82,2534.69,3.24,255.49
3.63,3639.87,2537.98,3.24,255.48
3.64,3647.77,2543.66,3.24,255.48
3.65,3663.58,2554.42,3.26,255.48
3.66,3667.34,2557.56,3.26,255.49
3.67,3666.96,2560.25,3.25,255.52
3.68,3674.87,2562.79,3.25,255.52
3.69,3678.95,2576.24,3.26,255.53
3.7,3703.03,2581.63,3.22,255.51
3.71,3702.34,2587.45,3.22,255.53
3.72,3706.43,2579.83,3.26,255.55
3.73,3718.15,2595.23,3.26,255.53
3.74,3730.51,2592.83,3.26,255.52
3.75,3733.91,2606.29,3.26,255.56
3.76,3741.5,2598.81,3.29,255.56
3.77,3749.72,2610.02,3.29,255.56
3.78,3765.9,2612.11,3.24,255.53
3.79,3769.66,2615.1,3.24,255.55
3.8,3797.88,2625.86,3.25,255.51
3.81,3797.51,2625.86,3.27,255.53
3.82,3788.88,2625.71,3.27,255.59
3.83,3800.92,2636.77,3.27,255.57
3.84,3808.83,2634.08,3.25,255.57
3.85,3828.77,2651.12,3.31,255.56
3.86,3832.54,2650.22,3.31,255.57
3.87,3840.45,2650.82,3.29,255.57
3.88,3844.22,2656.35,3.29,255.59
3.89,3848,2661.73,3.28,255.6
3.9,3855.55,2669.51,3.28,255.63
3.91,3867.59,2666.67,3.28,255.61
3.92,3871.37,2667.86,3.28,255.63
3.93,3879.27,2676.08,3.28,255.63
3.94,3878.93,2679.21,3.28,255.66
3.95,3898.87,2693.26,3.3,255.64
3.96,3910.9,2704.91,3.34,255.63
3.97,3914.68,2704.76,3.34,255.64
3.98,3922.59,2698.79,3.29,255.64
3.99,3942.87,2718.22,3.29,255.6
4,3938.06,2723.15,3.33,255.67
4.01,3954.22,2729.13,3.33,255.64
4.02,3958,2743.03,3.33,255.66
4.03,3965.91,2752.74,3.33,255.66
4.04,3977.94,2795.17,3.35,255.64
4.05,4018.49,2819.83,3.38,255.56
4.06,4014.03,2835.98,3.38,255.6
4.07,4038.43,2855.1,3.43,255.55
4.08,4050.46,2865.12,3.43,255.53
4.09,4054.24,2873.34,3.42,255.55
4.1,4074.17,2889.94,3.39,255.53
4.11,4098.57,2905.93,3.39,255.48
4.12,4098.54,2909.36,3.39,255.51
4.13,4122.63,2917.28,3.42,255.45
4.14,4126.72,2937.92,3.42,255.46
4.15,4146.65,2947.48,3.4,255.45
4.16,4162.48,2971.69,3.44,255.42
4.17,4174.51,2977.52,3.44,255.41
4.18,4170.04,2998.89,3.41,255.45
4.19,4190.31,3001.29,3.41,255.41
4.2,4210.24,3028.49,3.4,255.4
4.21,4218.14,3039.4,3.4,255.4
4.22,4230.16,3047.92,3.45,255.38
4.23,4246.31,3067.2,3.45,255.36
4.24,4245.96,3067.05,3.41,255.38
4.25,4278.25,3085.59,3.41,255.33
4.26,4277.91,3096.94,3.41,255.36
4.27,4306.42,3112.64,3.4,255.29
4.28,4306.07,3118.02,3.4,255.31
4.29,4313.97,3129.23,3.46,255.31
4.3,4342.14,3142.53,3.46,255.27
4.31,4341.79,3155.54,3.42,255.3
4.32,4349.69,3164.06,3.42,255.3
4.33,4365.83,3171.98,3.46,255.27
4.34,4369.61,3185.73,3.46,255.29
4.35,4393.65,3202.47,3.44,255.26
4.36,4389.19,3219.06,3.42,255.3
4.37,4405.32,3221.45,3.42,255.27
4.38,4417.34,3232.81,3.44,255.26
4.39,4433.48,3243.27,3.44,255.23
4.4,4449.59,3262.41,3.44,255.23
4.41,4453.05,3273.17,3.44,255.25
4.42,4461.27,3273.31,3.47,255.25
4.43,4481.2,3278.69,3.47,255.21
4.44,4485.3,3297.38,3.45,255.22
4.45,4501.09,3311.72,3.47,255.22
4.46,4504.55,3319.65,3.47,255.23
4.47,4516.88,3327.87,3.47,255.22
4.48,4520.66,3338.78,3.45,255.23
4.49,4536.79,3349.25,3.45,255.21
4.5,4544.36,3368.67,3.48,255.23
4.51,4556.37,3374.5,3.48,255.22
4.52,4580.73,3393.78,3.48,255.16
4.53,4572.16,3396.02,3.5,255.22
4.54,4588.29,3403.5,3.5,255.19
4.55,4604.08,3420.53,3.51,255.19
4.56,4603.75,3426.06,3.51,255.22
4.57,4615.76,3433.84,3.49,255.21
4.58,4631.88,3445.19,3.49,255.18
4.59,4639.78,3455.81,3.48,255.18
4.6,4651.46,3474.79,3.51,255.19
4.61,4671.69,3485.7,3.51,255.15
4.62,4675.48,3486.3,3.49,255.16
4.63,4683.37,3491.38,3.49,255.16
4.64,4687.15,3499.15,3.52,255.18
4.65,4702.95,3518.88,3.52,255.18
4.66,4710.84,3529.94,3.51,255.18
4.67,4731.07,3531.89,3.51,255.14
4.68,4730.74,3551.02,3.52,255.16
4.69,4746.86,3553.85,3.52,255.14
4.7,4758.87,3554.15,3.53,255.12
4.71,4774.66,3587.03,3.54,255.12
4.72,4770.22,3589.57,3.54,255.16
4.73,4782.23,3598.68,3.55,255.15
4.74,4798.34,3603.77,3.55,255.12
4.75,4798.02,3608.85,3.55,255.15
4.76,4801.8,3627.83,3.58,255.19
4.77,4821.7,3625.44,3.57,255.15
4.78,4838.13,3647.11,3.57,255.12
4.79,4833.39,3646.96,3.59,255.16
4.8,4845.7,3658.02,3.59,255.15
4.81,4857.39,3671.92,3.56,255.16
4.82,4881.39,3682.83,3.57,255.11
4.83,4889.6,3685.22,3.57,255.11
4.84,4897.18,3698.68,3.57,255.11
4.85,4897.18,3704.5,3.64,255.14
4.86,4917.07,3726.02,3.61,255.12
4.87,4929.07,3725.88,3.61,255.11
4.88,4936.97,3734.39,3.62,255.11
4.89,4944.86,3734.84,3.62,255.11
4.9,4956.86,3756.36,3.61,255.1
4.91,4976.75,3766.97,3.67,255.08
4.92,4988.74,3774.74,3.67,255.07
4.93,4996.64,3777.73,3.67,255.07
4.94,5004.53,3788.94,3.67,255.07
4.95,5020.63,3797.46,3.67,255.04
4.96,5032.31,3808.52,3.67,255.06
4.97,5040.21,3823.32,3.66,255.06
4.98,5052.2,3834.53,3.66,255.04
4.99,5051.89,3830.34,3.66,255.07
5,5063.88,3841.1,3.66,255.06
5.01,5087.87,3854.1,3.71,255.03
5.02,5099.86,3865.16,3.71,255.01
5.03,5111.86,3867.71,3.68,255
5.04,5132.05,3872.94,3.68,254.96
5.05,5119.44,3875.48,3.7,255.03
5.06,5139.32,3894.61,3.69,255.01
5.07,5155.41,3908.21,3.69,254.99
5.08,5159.21,3914.33,3.7,255
5.09,5158.9,3914.19,3.7,255.03
5.1,5174.99,3922.4,3.76,255
5.11,5194.87,3938.84,3.76,254.99
5.12,5194.88,3943.93,3.73,255.01
5.13,5214.75,3946.91,3.73,254.97
5.14,5214.76,3960.96,3.73,255
5.15,5242.82,3963.5,3.73,254.93
5.16,5242.22,3982.63,3.79,254.99
5.17,5254.52,3980.23,3.77,254.97
5.18,5270.6,3988.16,3.77,254.95
5.19,5270.3,3998.63,3.72,254.97
5.2,5278.19,4003.86,3.72,254.97
5.21,5293.97,4020.6,3.74,254.97
5.22,5305.96,4028.82,3.74,254.96
5.23,5322.04,4031.06,3.76,254.93
5.24,5313.55,4031.36,3.76,254.99
5.25,5325.54,4047.8,3.76,254.97
5.26,5345.41,4061.25,3.79,254.96
5.27,5353.3,4053.47,3.79,254.96
5.28,5357.1,4063.79,3.79,254.97
5.29,5369.08,4067.52,3.79,254.96
5.3,5376.97,4077.24,3.77,254.96
5.31,5396.85,4083.96,3.77,254.95
5.32,5400.65,4102.05,3.8,254.96
5.33,5416.72,4101.45,3.8,254.93
5.34,5412.34,4110.72,3.77,254.97
5.35,5428.41,4117.75,3.77,254.95
5.36,5444.19,4129.1,3.82,254.95
5.37,5447.99,4137.17,3.81,254.96
5.38,5464.06,4145.39,3.81,254.93
5.39,5471.95,4150.33,3.82,254.93
5.4,5471.66,4154.2,3.82,254.96
5.41,5499.7,4161.38,3.83,254.92
5.42,5495.65,4172.3,3.83,254.96
5.43,5499.14,4180.36,3.86,254.97
5.44,5515.51,4183.8,3.86,254.95
5.45,5523.09,4191.27,3.86,254.95
5.46,5534.78,4205.32,3.85,254.96
5.47,5551.16,4207.72,3.85,254.93
5.48,5542.71,4215.49,3.83,254.99
5.49,5546.52,4218.93,3.83,255
5.5,5570.75,4221.76,3.83,254.95
5.51,5578.36,4243.28,3.86,254.97
5.52,5586.25,4240.59,3.87,254.97
5.53,5598.22,4242.99,3.87,254.96
5.54,5606.12,4251.2,3.89,254.96
5.55,5609.92,4265.1,3.89,254.97
5.56,5629.79,4281.09,3.9,254.96
5.57,5621.36,4280.95,3.89,255.01
5.58,5641.49,4292.01,3.89,254.97
5.59,5645.3,4297.54,3.89,254.99
5.6,5657.27,4297.54,3.89,254.97
5.61,5664.9,4308.45,3.9,255
5.62,5668.71,4311.28,3.9,255.01
5.63,5676.6,4316.36,3.95,255.01
5.64,5688.57,4329.37,3.95,255
5.65,5692.39,4329.08,3.91,255.01
5.66,5712.25,4351.79,3.91,255
5.67,5716.06,4356.87,3.91,255.01
5.68,5732.1,4359.12,3.91,254.99
5.69,5731.85,4370.47,3.92,255.01
5.7,5731.59,4376,3.92,255.04
5.71,5747.38,4383.93,3.91,255.04
5.72,5755.27,4381.53,3.91,255.04
5.73,5775.38,4393.8,3.91,255
5.74,5775.12,4394.53,3.97,255.03
5.75,5791.48,4403.2,3.97,255
5.76,5802.87,4424.58,3.92,255.01
5.77,5806.69,4422.04,3.92,255.03
5.78,5823.04,4435.34,3.92,255
5.79,5826.55,4430.41,3.92,255.01
5.8,5846.97,4441.02,3.95,254.97
5.81,5842.4,4446.25,3.94,255.04
5.82,5870.64,4467.92,3.94,254.97
5.83,5861.94,4462.4,3.92,255.03
5.84,5882.35,4467.93,3.92,254.99
5.85,5894,4468.22,3.92,254.97
5.86,5901.96,4483.78,3.91,255
5.87,5922.05,4491.85,3.91,254.96
5.88,5921.49,4497.23,3.91,254.99
5.89,5933.77,4499.77,3.95,254.97
5.9,5929.46,4510.97,3.95,255.01
5.91,5957.44,4518.75,3.96,254.97
5.92,5965.33,4523.98,3.94,254.97
5.93,5969.16,4534.6,3.94,254.99
5.94,5981.11,4532.19,3.99,254.97
5.95,5989,4538.46,3.99,254.97
5.96,6000.72,4551.33,3.93,254.99
5.97,6004.55,4562.39,3.93,255
5.98,6012.44,4565.22,4.01,255
5.99,6012.21,4572.85,4.01,255.03
6,6024.16,4569.86,3.99,255.01
6.01,6052.13,4581.21,4.02,254.97
6.02,6039.72,4590.17,4.02,255.04
6.03,6063.85,4592.13,3.99,254.99
6.04,6075.8,4602.74,3.99,254.97
6.05,6075.57,4609.16,4.02,255
6.06,6099.47,4616.19,4.02,254.97
6.07,6103.31,4624.42,3.98,254.99
6.08,6115.26,4628.91,3.98,254.97
6.09,6127.21,4629.93,4.05,254.96
6.1,6126.98,4640.55,4.05,254.99
6.11,6126.53,4651.02,4.01,255.04
6.12,6142.54,4656.99,4.02,255.01
6.13,6162.6,4670.45,4.02,254.97
6.14,6170.49,4664.92,4.02,254.97
6.15,6158.1,4676.12,4.02,255.04
6.16,6190.11,4688.69,4.02,254.99
6.17,6194.26,4686.59,4.02,255
6.18,6205.89,4699.74,4.05,254.99
6.19,6209.73,4705.42,4.05,255
6.2,6209.51,4708.71,4.03,255.03
6.21,6229.35,4724.4,4.06,255.01
6.22,6233.5,4718.72,4.06,255.03
6.23,6237.03,4727.53,4.08,255.04
6.24,6253.34,4735.01,4.08,255.01
6.25,6252.81,4740.54,4.08,255.04
6.26,6265.07,4743.09,4.05,255.03
6.27,6284.91,4756.54,4.04,255.01
6.28,6276.29,4759.97,4.04,255.07
6.29,6300.69,4762.8,4.1,255.01
6.3,6300.49,4759.96,4.1,255.04
6.31,6300.28,4781.05,4.08,255.07
6.32,6324.16,4783.29,4.07,255.04
6.33,6332.06,4792.4,4.07,255.04
6.34,6352.09,4792.11,4.07,255
6.35,6343.79,4807.8,4.1,255.06
6.36,6343.59,4805.7,4.1,255.08
6.37,6371.52,4821.7,4.07,255.04
6.38,6379.41,4829.33,4.09,255.04
6.39,6391.35,4835.89,4.09,255.03
6.4,6387.11,4840.09,4.08,255.07
6.41,6390.96,4843.08,4.08,255.08
6.42,6414.83,4850.85,4.13,255.06
6.43,6410.59,4857.27,4.1,255.1
6.44,6422.53,4859.66,4.1,255.08
6.45,6434.47,4870.13,4.1,255.07
6.46,6442.36,4875.66,4.11,255.07
